GeneID	GeneName	Family_Subfamily	Protein_Class	GO_MF	GO_BP	GO_CC
Zm00001eb358720	Beta-adaptin-like protein	AP-4 COMPLEX SUBUNIT BETA-1 (PTHR11134:SF4)	membrane traffic protein(PC00150)			
Zm00001eb144540	QWRF motif-containing protein 6	QWRF MOTIF-CONTAINING PROTEIN 6 (PTHR31807:SF50)		microtubule binding(GO:0008017)	spindle assembly(GO:0051225)	cytoplasm(GO:0005737);nuclear microtubule(GO:0005880)
Zm00001eb351000	Succinate dehydrogenase subunit 4 mitochondrial	"SUCCINATE DEHYDROGENASE SUBUNIT 4, MITOCHONDRIAL (PTHR36358:SF1)"	dehydrogenase(PC00092)		"tricarboxylic acid cycle(GO:0006099);mitochondrial electron transport, succinate to ubiquinone(GO:0006121)"	mitochondrial inner membrane(GO:0005743);respiratory chain complex II (succinate dehydrogenase)(GO:0045273)
Zm00001eb431510	Leucoanthocyanidin reductase	ANTHOCYANIDIN REDUCTASE (PTHR10366:SF288)	dehydratase(PC00091)	"oxidoreductase activity(GO:0016491);oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor(GO:0016616)"	flavonoid biosynthetic process(GO:0009813)	
Zm00001eb185160	Myb transcription factor39	TRANSCRIPTION FACTOR MYB30 (PTHR10641:SF1341)	homeodomain transcription factor(PC00119)	transcription cis-regulatory region binding(GO:0000976);DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700)	regulation of DNA-templated transcription(GO:0006355);regulation of lignin biosynthetic process(GO:1901141)	nucleus(GO:0005634)
Zm00001eb376480	Protein-tyrosine sulfotransferase	HEPARAN-SULFATE 6-O-SULFOTRANSFERASE (PTHR12812:SF0)	transferase(PC00220)	sulfotransferase activity(GO:0008146);transferase activity(GO:0016740);heparan sulfate 6-sulfotransferase activity(GO:0017095)	heparan sulfate proteoglycan biosynthetic process(GO:0015012)	membrane(GO:0016020)
Zm00001eb087960	Natterin-4	NATTERIN-3-LIKE (PTHR39244:SF5)				
Zm00001eb369980	Jacalin-related lectin 3			carbohydrate binding(GO:0030246)		
Zm00001eb336780	Uncharacterized protein	ATP-DEPENDENT DNA HELICASE (PTHR48299:SF2)				
Zm00001eb131670	DNA_RNA-binding protein Alba-like domain-containing protein	FI09323P (PTHR13516:SF4)	endoribonuclease(PC00094)	nucleic acid binding(GO:0003676);RNA binding(GO:0003723)		nucleus(GO:0005634)
Zm00001eb292450	UBP25	UBIQUITIN CARBOXYL-TERMINAL HYDROLASE 36 (PTHR24006:SF758)	cysteine protease(PC00081)	cysteine-type deubiquitinase activity(GO:0004843);peptidase activity(GO:0008233);cysteine-type peptidase activity(GO:0008234);hydrolase activity(GO:0016787)	proteolysis(GO:0006508);protein deubiquitination(GO:0016579);regulation of protein stability(GO:0031647)	nucleus(GO:0005634);cytosol(GO:0005829)
Zm00001eb235590	Embryonic flower 1-like protein				negative regulation of flower development(GO:0009910);negative regulation of DNA-templated transcription(GO:0045892);shoot system development(GO:0048367)	
Zm00001eb167070	(Z)-3-hexen-1-ol acetyltransferase	BENZYL ALCOHOL O-BENZOYLTRANSFERASE (PTHR31642:SF9)	acetyltransferase(PC00038)	"transferase activity(GO:0016740);acyltransferase activity, transferring groups other than amino-acyl groups(GO:0016747)"		
Zm00001eb074050	Anther-specific proline-rich protein APG	GDSL ESTERASE_LIPASE (PTHR45648:SF57)	lipase(PC00143)	"hydrolase activity(GO:0016787);hydrolase activity, acting on ester bonds(GO:0016788)"	lipid catabolic process(GO:0016042)	
Zm00001eb432420	NADPH--cytochrome P450 reductase	NADPH--CYTOCHROME P450 REDUCTASE 1 (PTHR19384:SF107)	oxidoreductase(PC00176)	NADPH-hemoprotein reductase activity(GO:0003958);FMN binding(GO:0010181);oxidoreductase activity(GO:0016491);flavin adenine dinucleotide binding(GO:0050660);NADP binding(GO:0050661)		cytoplasm(GO:0005737);endoplasmic reticulum membrane(GO:0005789);cytosol(GO:0005829)
Zm00001eb065760	Putative LRR receptor-like serine_threonine-protein kinase	LRR RECEPTOR-LIKE SERINE_THREONINE-PROTEIN KINASE-RELATED (PTHR46084:SF41)		nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);ATP binding(GO:0005524);kinase activity(GO:0016301)		endomembrane system(GO:0012505)
Zm00001eb371810	Uncharacterized protein	ANTHRANILATE O-METHYLTRANSFERASE 3 (PTHR31009:SF133)	methyltransferase(PC00155)	methyltransferase activity(GO:0008168);S-adenosylmethionine-dependent methyltransferase activity(GO:0008757);metal ion binding(GO:0046872)	methylation(GO:0032259)	
Zm00001eb320860	DNA helicase	FANCONI ANEMIA GROUP J PROTEIN (PTHR11472:SF47)	DNA helicase(PC00011)	"nucleotide binding(GO:0000166);nucleic acid binding(GO:0003676);DNA binding(GO:0003677);DNA helicase activity(GO:0003678);helicase activity(GO:0004386);ATP binding(GO:0005524);hydrolase activity(GO:0016787);hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides(GO:0016818);isomerase activity(GO:0016853);metal ion binding(GO:0046872);iron-sulfur cluster binding(GO:0051536);4 iron, 4 sulfur cluster binding(GO:0051539)"	nucleobase-containing compound metabolic process(GO:0006139);DNA metabolic process(GO:0006259);DNA repair(GO:0006281);nucleotide-excision repair(GO:0006289);DNA damage response(GO:0006974);cellular response to stress(GO:0033554);double-strand break repair involved in meiotic recombination(GO:1990918)	nucleus(GO:0005634)
Zm00001eb368010	UBC core domain-containing protein	UBIQUITIN-CONJUGATING ENZYME E2 G1 (PTHR24067:SF3)	ubiquitin-protein ligase(PC00234)			
Zm00001eb202950	Sm domain-containing protein	ATAXIN-2 HOMOLOG (PTHR12854:SF7)	RNA metabolism protein(PC00031)	RNA binding(GO:0003723);mRNA binding(GO:0003729)	stress granule assembly(GO:0034063)	cytoplasm(GO:0005737);cytoplasmic stress granule(GO:0010494)
Zm00001eb065930	Uncharacterized protein	OS04G0680300 PROTEIN (PTHR36053:SF1)				
Zm00001eb060220	Aldehyde oxidase3	ALDEHYDE OXIDASE3 (PTHR11908:SF142)	oxidoreductase(PC00176)	"aldehyde oxidase activity(GO:0004031);iron ion binding(GO:0005506);oxidoreductase activity(GO:0016491);metal ion binding(GO:0046872);flavin adenine dinucleotide binding(GO:0050660);iron-sulfur cluster binding(GO:0051536);2 iron, 2 sulfur cluster binding(GO:0051537);FAD binding(GO:0071949)"	abscisic acid biosynthetic process(GO:0009688);auxin biosynthetic process(GO:0009851)	
Zm00001eb432690	Uncharacterized protein					
Zm00001eb387130	Uncharacterized protein					
Zm00001eb153510	Regulator of chromosome condensation (RCC1) family protein					
Zm00001eb392800	RING-type domain-containing protein			zinc ion binding(GO:0008270);metal ion binding(GO:0046872);ubiquitin protein ligase activity(GO:0061630)		
Zm00001eb168050	Non-reducing end alpha-L-arabinofuranosidase					
Zm00001eb408800	Auxin response factor	AUXIN RESPONSE FACTOR 24 (PTHR31384:SF40)		transcription cis-regulatory region binding(GO:0000976);DNA binding(GO:0003677)	regulation of DNA-templated transcription(GO:0006355);response to hormone(GO:0009725);auxin-activated signaling pathway(GO:0009734)	nucleus(GO:0005634)
Zm00001eb322850	Protein LHCP TRANSLOCATION DEFECT	PROTEIN LHCP TRANSLOCATION DEFECT (PTHR47317:SF1)			intracellular protein transport(GO:0006886);protein transport(GO:0015031);granum assembly(GO:0090391)	chloroplast(GO:0009507);chloroplast stroma(GO:0009570);chloroplast envelope(GO:0009941)
Zm00001eb118860	DUF1685 family protein					
Zm00001eb300870	Small nuclear ribonucleoprotein-associated protein	SMALL NUCLEAR RIBONUCLEOPROTEIN-ASSOCIATED PROTEIN B (PTHR10701:SF0)	RNA splicing factor(PC00148)	RNA binding(GO:0003723);snRNP binding(GO:0070990)	"mRNA splicing, via spliceosome(GO:0000398);mRNA processing(GO:0006397);RNA splicing(GO:0008380)"	nucleus(GO:0005634);U5 snRNP(GO:0005682);U1 snRNP(GO:0005685);U2 snRNP(GO:0005686);U4 snRNP(GO:0005687);cytoplasm(GO:0005737);U4/U6 x U5 tri-snRNP complex(GO:0046540);U2-type prespliceosome(GO:0071004);catalytic step 2 spliceosome(GO:0071013);ribonucleoprotein complex(GO:1990904)
Zm00001eb219430	Phosphoinositide phosphatase SAC2			"hydrolase activity(GO:0016787);phosphatase activity(GO:0016791);phosphatidylinositol-3,5-bisphosphate 5-phosphatase activity(GO:0043813)"	phosphatidylinositol-3-phosphate biosynthetic process(GO:0036092);phosphatidylinositol dephosphorylation(GO:0046856)	vacuolar membrane(GO:0005774)
Zm00001eb391710	Uncharacterized protein			calmodulin binding(GO:0005516)		
Zm00001eb371640	"Probable alanine--tRNA ligase, chloroplastic"	"ALANINE--TRNA LIGASE, CYTOPLASMIC (PTHR11777:SF9)"	aminoacyl-tRNA synthetase(PC00047)	tRNA binding(GO:0000049);nucleotide binding(GO:0000166);aminoacyl-tRNA deacylase activity(GO:0002161);nucleic acid binding(GO:0003676);RNA binding(GO:0003723);aminoacyl-tRNA ligase activity(GO:0004812);alanine-tRNA ligase activity(GO:0004813);ATP binding(GO:0005524);zinc ion binding(GO:0008270);ligase activity(GO:0016874);metal ion binding(GO:0046872)	translation(GO:0006412);alanyl-tRNA aminoacylation(GO:0006419);tRNA aminoacylation(GO:0043039);aminoacyl-tRNA metabolism involved in translational fidelity(GO:0106074)	cytoplasm(GO:0005737);mitochondrion(GO:0005739);cytosol(GO:0005829);chloroplast(GO:0009507)
Zm00001eb428830	Dof zinc finger protein	DOF ZINC FINGER PROTEIN DOF4.6 (PTHR31992:SF285)		DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700);zinc ion binding(GO:0008270);metal ion binding(GO:0046872)	regulation of DNA-templated transcription(GO:0006355)	nucleus(GO:0005634)
Zm00001eb120230	Uncharacterized protein					
Zm00001eb128130	26S proteasome non-ATPase regulatory subunit 14	26S PROTEASOME REGULATORY PARTICLE NON-ATPASE SUBUNIT11 (PTHR10410:SF47)	translation initiation factor(PC00224)	peptidase activity(GO:0008233);metallopeptidase activity(GO:0008237);hydrolase activity(GO:0016787);metal ion binding(GO:0046872);proteasome binding(GO:0070628);metal-dependent deubiquitinase activity(GO:0140492)	proteolysis(GO:0006508);proteasome-mediated ubiquitin-dependent protein catabolic process(GO:0043161)	"proteasome complex(GO:0000502);nucleus(GO:0005634);proteasome regulatory particle, lid subcomplex(GO:0008541)"
Zm00001eb318980	Protein kinase domain-containing protein	CYCLIN-DEPENDENT KINASE B2-2 (PTHR24056:SF178)	non-receptor serine/threonine protein kinase(PC00167)	nucleotide binding(GO:0000166);hydroxymethylglutaryl-CoA reductase (NADPH) activity(GO:0004420);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);cyclin-dependent protein serine/threonine kinase activity(GO:0004693);ATP binding(GO:0005524);RNA polymerase II CTD heptapeptide repeat kinase activity(GO:0008353);kinase activity(GO:0016301);transferase activity(GO:0016740)	G2/M transition of mitotic cell cycle(GO:0000086);regulation of transcription by RNA polymerase II(GO:0006357);signal transduction(GO:0007165);coenzyme A metabolic process(GO:0015936);regulation of cell cycle(GO:0051726)	nucleus(GO:0005634);cytoplasm(GO:0005737)
Zm00001eb243020	Protein SMAX1-LIKE 3	OS02G0537800 PROTEIN (PTHR43572:SF5)	chaperone(PC00072)	protein folding chaperone(GO:0044183)	protein folding(GO:0006457)	nucleus(GO:0005634)
Zm00001eb013540	Tetratricopeptide repeat (TPR)-like superfamily protein	CHUP1-LIKE PROTEIN (PTHR31342:SF48)	non-motor actin binding protein(PC00165)		protein localization to cortical microtubule cytoskeleton(GO:0072699)	cortical microtubule(GO:0055028)
Zm00001eb215520	Nucleotide-diphospho-sugar transferase family protein	OS03G0731800 PROTEIN (PTHR46038:SF12)		transferase activity(GO:0016740)		
Zm00001eb360620	Protein kinase domain-containing protein	PROTEIN KINASE DOMAIN-CONTAINING PROTEIN (PTHR46008:SF60)	transmembrane signal receptor(PC00197)	nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740);polysaccharide binding(GO:0030247)		plasma membrane(GO:0005886)
Zm00001eb361500	Methyltransferase type 11 domain-containing protein	OS01G0716500 PROTEIN (PTHR44575:SF1)				
Zm00001eb257600	Protein kinase domain-containing protein	PROTEIN KINASE SUPERFAMILY PROTEIN (PTHR48014:SF24)	non-receptor serine/threonine protein kinase(PC00167)	nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);ATP binding(GO:0005524);protein serine/threonine kinase activator activity(GO:0043539)		
Zm00001eb081130	Sugar transport protein 5	SUGAR TRANSPORT PROTEIN 5 (PTHR23500:SF561)	secondary carrier transporter(PC00258)	carbohydrate transmembrane transporter activity(GO:0015144);monosaccharide transmembrane transporter activity(GO:0015145);symporter activity(GO:0015293);transmembrane transporter activity(GO:0022857)	monosaccharide transmembrane transport(GO:0015749);transmembrane transport(GO:0055085)	membrane(GO:0016020)
Zm00001eb015840	ABC transporter B family member 25 mitochondrial	"IRON-SULFUR CLUSTERS TRANSPORTER ABCB7, MITOCHONDRIAL (PTHR24221:SF402)"	ATP-binding cassette (ABC) transporter(PC00003)	nucleotide binding(GO:0000166);ATP binding(GO:0005524);ATP hydrolysis activity(GO:0016887);ATPase-coupled transmembrane transporter activity(GO:0042626);ABC-type transporter activity(GO:0140359)	monoatomic ion transport(GO:0006811);iron ion transport(GO:0006826);intracellular iron ion homeostasis(GO:0006879);transmembrane transport(GO:0055085)	cytoplasm(GO:0005737);mitochondrial inner membrane(GO:0005743);membrane(GO:0016020)
Zm00001eb332460	Germin-like protein	GERMIN-LIKE PROTEIN 1-1 (PTHR31238:SF36)		manganese ion binding(GO:0030145);metal ion binding(GO:0046872)	plasmodesmata-mediated intercellular transport(GO:0010497);regulation of root development(GO:2000280)	plasmodesma(GO:0009506);apoplast(GO:0048046)
Zm00001eb120730	Uncharacterized protein	OS01G0201900 PROTEIN (PTHR36892:SF10)				
Zm00001eb293720	P-loop nucleoside triphosphate hydrolase superfamily protein with CH (Calponin Homology) domain	KINESIN-LIKE PROTEIN KIN-14J (PTHR47972:SF14)	microtubule binding motor protein(PC00156)	nucleotide binding(GO:0000166);cytoskeletal motor activity(GO:0003774);microtubule motor activity(GO:0003777);ATP binding(GO:0005524);microtubule binding(GO:0008017)	microtubule-based process(GO:0007017);microtubule-based movement(GO:0007018)	microtubule(GO:0005874);microtubule cytoskeleton(GO:0015630)
Zm00001eb338050	Protein RALF-like 33	PROTEIN RALF-LIKE 19 (PTHR33136:SF89)		hormone activity(GO:0005179)	calcium-mediated signaling(GO:0019722)	
Zm00001eb137510	Calcium-binding protein CML38	CALCIUM-BINDING PROTEIN CML23-RELATED (PTHR10891:SF926)	calmodulin-related(PC00061)	calcium ion binding(GO:0005509);metal ion binding(GO:0046872)		
Zm00001eb278740	Putative DUF1296 domain containing family protein	OS06G0206100 PROTEIN (PTHR47070:SF2)				
Zm00001eb109460	EF hand family protein	OS09G0458800 PROTEIN (PTHR10891:SF1000)	calmodulin-related(PC00061)	calcium ion binding(GO:0005509)		
Zm00001eb357960	ABC transporter G family member 40	ABC TRANSPORTER G FAMILY MEMBER 37 (PTHR19241:SF619)	ATP-binding cassette (ABC) transporter(PC00003)	nucleotide binding(GO:0000166);ATP binding(GO:0005524);ATP hydrolysis activity(GO:0016887);ABC-type transporter activity(GO:0140359)	transmembrane transport(GO:0055085)	membrane(GO:0016020)
Zm00001eb334740	Fructose-bisphosphate aldolase	"FRUCTOSE-BISPHOSPHATE ALDOLASE 3, CHLOROPLASTIC (PTHR11627:SF75)"	aldolase(PC00044)			
Zm00001eb351950	PX domain-containing protein	OS05G0474500 PROTEIN (PTHR46757:SF1)	scaffold/adaptor protein(PC00226)	phospholipid binding(GO:0005543);phosphatidylinositol binding(GO:0035091)	vesicle-mediated transport(GO:0016192)	endosome(GO:0005768);membrane(GO:0016020)
Zm00001eb325500	Major facilitator superfamily protein	MAJOR FACILITATOR SUPERFAMILY DOMAIN-CONTAINING PROTEIN 12 (PTHR11328:SF28)	primary active transporter(PC00068)			
Zm00001eb057800	Peptidyl-prolyl cis-trans isomerase	"PEPTIDYL-PROLYL CIS-TRANS ISOMERASE CYP20-3, CHLOROPLASTIC (PTHR11071:SF420)"	chaperone(PC00072)	peptidyl-prolyl cis-trans isomerase activity(GO:0003755);cyclosporin A binding(GO:0016018);isomerase activity(GO:0016853)	protein folding(GO:0006457)	cytoplasm(GO:0005737)
Zm00001eb162340	Fatty acid desaturase domain-containing protein			oxidoreductase activity(GO:0016491)	lipid metabolic process(GO:0006629)	
Zm00001eb146790	Saposin B-type domain-containing protein	OS12G0112200 PROTEIN (PTHR11480:SF90)	scaffold/adaptor protein(PC00226)	metalloendopeptidase activity(GO:0004222);cysteine-type deubiquitinase activity(GO:0004843);peptidase activity(GO:0008233);metallopeptidase activity(GO:0008237);hydrolase activity(GO:0016787);metal ion binding(GO:0046872)	proteolysis(GO:0006508);ubiquitin-dependent protein catabolic process(GO:0006511);lipid metabolic process(GO:0006629)	extracellular space(GO:0005615)
Zm00001eb391370	Expansin-B4	EXPANSIN-B2 (PTHR31692:SF19)			cell wall organization(GO:0071555)	extracellular region(GO:0005576)
Zm00001eb148350	O-fucosyltransferase family protein	PROTEIN ESMERALDA 1 (PTHR31288:SF10)		transferase activity(GO:0016740);glycosyltransferase activity(GO:0016757)	fucose metabolic process(GO:0006004)	Golgi apparatus(GO:0005794)
Zm00001eb347360	UNE1	UNE1 (PTHR31161:SF15)			response to red or far red light(GO:0009639);negative gravitropism(GO:0009959)	
Zm00001eb272440	Uncharacterized protein					
Zm00001eb043060	Pentatricopeptide repeat-containing protein chloroplastic	"BOX HELICASE FAMILY PROTEIN, PUTATIVE, EXPRESSED-RELATED (PTHR47932:SF74)"		mRNA binding(GO:0003729)		
Zm00001eb406950	B3 domain-containing protein	B3 DOMAIN-CONTAINING PROTEIN (PTHR31140:SF136)	DNA-binding transcription factor(PC00218)	DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700)	regulation of DNA-templated transcription(GO:0006355)	nucleus(GO:0005634)
Zm00001eb043610	Protein kinase domain containing protein	OS10G0516200 PROTEIN (PTHR27001:SF543)		nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);protein serine/threonine/tyrosine kinase activity(GO:0004712);protein tyrosine kinase activity(GO:0004713);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740)	signal transduction(GO:0007165);response to cold(GO:0009409);response to water deprivation(GO:0009414);response to salt(GO:1902074)	plasma membrane(GO:0005886)
Zm00001eb185000	Putative SET-domain containing protein family	OS02G0621100 PROTEIN (PTHR46450:SF8)	histone modifying enzyme(PC00261)	methyltransferase activity(GO:0008168);zinc ion binding(GO:0008270);transferase activity(GO:0016740);histone methyltransferase activity(GO:0042054)	chromatin remodeling(GO:0006338);methylation(GO:0032259)	nucleus(GO:0005634);chromosome(GO:0005694)
Zm00001eb152060	Maternal effect embryo arrest 22	MATERNAL EFFECT EMBRYO ARREST 22 (PTHR35480:SF1)				
Zm00001eb060800	GB1_RHD3-type G domain-containing protein	GUANYLATE-BINDING PROTEIN_ATLASTIN C-TERMINAL DOMAIN-CONTAINING PROTEIN (PTHR10751:SF125)	heterotrimeric G-protein(PC00117)	nucleotide binding(GO:0000166);GTPase activity(GO:0003924);GTP binding(GO:0005525);hydrolase activity(GO:0016787)		
Zm00001eb061670	Rubredoxin-like domain-containing protein	RUBREDOXIN-1-RELATED (PTHR47627:SF1)	oxidoreductase(PC00176)	iron ion binding(GO:0005506);metal ion binding(GO:0046872)		
Zm00001eb433610	magnesium chelatase	"MAGNESIUM-CHELATASE SUBUNIT CHLH, CHLOROPLASTIC (PTHR44119:SF1)"		nucleotide binding(GO:0000166);ATP binding(GO:0005524);magnesium chelatase activity(GO:0016851);ligase activity(GO:0016874)	photosynthesis(GO:0015979);chlorophyll biosynthetic process(GO:0015995)	chloroplast(GO:0009507)
Zm00001eb369570	DUF4220 domain-containing protein	DUF4220 DOMAIN-CONTAINING PROTEIN (PTHR31325:SF158)				
Zm00001eb207070	NPH3 domain-containing protein	NPH3 DOMAIN-CONTAINING PROTEIN (PTHR47105:SF2)				
Zm00001eb207080	Cytochrome P450 15	"CYTOCHROME P450 97B3, CHLOROPLASTIC (PTHR24291:SF183)"	oxygenase(PC00177)			
Zm00001eb406440	Protein trichome birefringence-like 10	PROTEIN TRICHOME BIREFRINGENCE-LIKE 11 (PTHR32285:SF213)		O-acetyltransferase activity(GO:0016413);transferase activity(GO:0016740);xylan O-acetyltransferase activity(GO:1990538)		Golgi membrane(GO:0000139);Golgi apparatus(GO:0005794)
Zm00001eb116160	S-receptor kinase1	OS11G0691500 PROTEIN (PTHR27005:SF162)	transmembrane signal receptor(PC00197)	nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);calcium ion binding(GO:0005509);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740);polysaccharide binding(GO:0030247)	cell surface receptor signaling pathway(GO:0007166)	plasma membrane(GO:0005886);membrane(GO:0016020)
Zm00001eb299020	Fucosyltransferase	FUCOSYLTRANSFERASE (PTHR31889:SF46)	transferase(PC00220)	galactoside 2-alpha-L-fucosyltransferase activity(GO:0008107);transferase activity(GO:0016740);glycosyltransferase activity(GO:0016757)	xyloglucan biosynthetic process(GO:0009969);cell wall biogenesis(GO:0042546);cell wall organization(GO:0071555)	membrane(GO:0016020);Golgi cisterna membrane(GO:0032580)
Zm00001eb329610	Uncharacterized protein					
Zm00001eb164670	Uncharacterized protein					
Zm00001eb075510	NAC domain-containing protein 26	OS04G0536500 PROTEIN (PTHR31989:SF497)		DNA binding(GO:0003677)	regulation of DNA-templated transcription(GO:0006355)	
Zm00001eb101680	Caffeoyl-CoA O-methyltransferase 1	OS09G0481400 PROTEIN (PTHR10509:SF92)	methyltransferase(PC00155)	methyltransferase activity(GO:0008168);O-methyltransferase activity(GO:0008171);S-adenosylmethionine-dependent methyltransferase activity(GO:0008757);transferase activity(GO:0016740)	methylation(GO:0032259)	
Zm00001eb257770	Formin-like protein	FORMIN-LIKE PROTEIN 7 (PTHR45733:SF5)		phosphoprotein phosphatase activity(GO:0004721)		
Zm00001eb149160	Uncharacterized protein	OS01G0827800 PROTEIN (PTHR31213:SF178)				
Zm00001eb258450	Diphthine--ammonia ligase	DIPHTHINE--AMMONIA LIGASE (PTHR12196:SF2)		diphthine-ammonia ligase activity(GO:0017178)	protein histidyl modification to diphthamide(GO:0017183)	
Zm00001eb244230	"GTP 3',8-cyclase"	MOLYBDENUM COFACTOR BIOSYNTHESIS PROTEIN 1 (PTHR22960:SF0)		"nucleotide binding(GO:0000166);catalytic activity(GO:0003824);GTP binding(GO:0005525);lyase activity(GO:0016829);metal ion binding(GO:0046872);iron-sulfur cluster binding(GO:0051536);4 iron, 4 sulfur cluster binding(GO:0051539);GTP 3',8'-cyclase activity(GO:0061798);cyclic pyranopterin monophosphate synthase activity(GO:0061799)"	Mo-molybdopterin cofactor biosynthetic process(GO:0006777);molybdopterin cofactor biosynthetic process(GO:0032324)	mitochondrion(GO:0005739);endoplasmic reticulum(GO:0005783)
Zm00001eb087880	Uncharacterized protein					
Zm00001eb237240	Xyloglucan endotransglucosylase_hydrolase	OS02G0280200 PROTEIN (PTHR31062:SF95)	hydrolase(PC00121)	"hydrolase activity, hydrolyzing O-glycosyl compounds(GO:0004553);transferase activity(GO:0016740);xyloglucan:xyloglucosyl transferase activity(GO:0016762);hydrolase activity(GO:0016787);hydrolase activity, acting on glycosyl bonds(GO:0016798)"	carbohydrate metabolic process(GO:0005975);plant-type secondary cell wall biogenesis(GO:0009834);xyloglucan metabolic process(GO:0010411);cell wall biogenesis(GO:0042546);glucan metabolic process(GO:0044042);cell wall organization(GO:0071555)	plant-type cell wall(GO:0009505);apoplast(GO:0048046)
Zm00001eb338340	Gibberellin 2-oxidase9	GA 2-OXIDASE 5 (PTHR47990:SF25)	oxygenase(PC00177)	oxidoreductase activity(GO:0016491);gibberellin 2-beta-dioxygenase activity(GO:0045543);metal ion binding(GO:0046872)	response to light stimulus(GO:0009416);gibberellin catabolic process(GO:0045487)	
Zm00001eb220090	Tetratricopeptide repeat (TPR)-like superfamily protein	PROTEIN HLB1 (PTHR45005:SF2)				
Zm00001eb107750	Glycosyltransferase	GLYCOSYLTRANSFERASE (PTHR48049:SF89)	glycosyltransferase(PC00111)	UDP-glycosyltransferase activity(GO:0008194);transferase activity(GO:0016740);glycosyltransferase activity(GO:0016757);UDP-glucosyltransferase activity(GO:0035251);anthocyanidin 3-O-glucosyltransferase activity(GO:0047213);quercetin 3-O-glucosyltransferase activity(GO:0080043)	coumarin biosynthetic process(GO:0009805)	
Zm00001eb303830	Vacuolar protein sorting-associated protein 2 homolog 1	OS07G0236800 PROTEIN (PTHR10476:SF12)	membrane traffic protein(PC00150)		vacuolar transport(GO:0007034);protein transport(GO:0015031);endosome transport via multivesicular body sorting pathway(GO:0032509);late endosome to vacuole transport(GO:0045324)	ESCRT III complex(GO:0000815);multivesicular body(GO:0005771)
Zm00001eb406420	Cation_calcium exchanger 5	CATION_CALCIUM EXCHANGER 5 (PTHR12266:SF33)	primary active transporter(PC00068)	monoatomic cation transmembrane transporter activity(GO:0008324);potassium ion transmembrane transporter activity(GO:0015079);sodium ion transmembrane transporter activity(GO:0015081);antiporter activity(GO:0015297)	monoatomic cation transport(GO:0006812);sodium ion transport(GO:0006814);sodium ion transmembrane transport(GO:0035725);transmembrane transport(GO:0055085);potassium ion transmembrane transport(GO:0071805)	plasma membrane(GO:0005886);membrane(GO:0016020);nuclear periphery(GO:0034399)
Zm00001eb327440	Uncharacterized protein					
Zm00001eb409660	Uncharacterized protein					
Zm00001eb425650	Uncharacterized protein					
Zm00001eb426020	Nodulin-like domain-containing protein					membrane(GO:0016020)
Zm00001eb380300	Senescence-specific cysteine protease SAG12	SENESCENCE-SPECIFIC CYSTEINE PROTEASE SAG39 (PTHR12411:SF813)	cysteine protease(PC00081)	cysteine-type endopeptidase activity(GO:0004197);peptidase activity(GO:0008233);cysteine-type peptidase activity(GO:0008234);hydrolase activity(GO:0016787)	proteolysis(GO:0006508);proteolysis involved in protein catabolic process(GO:0051603)	extracellular space(GO:0005615);lysosome(GO:0005764)
Zm00001eb218310	SHSP domain-containing protein	OS03G0656000 PROTEIN (PTHR43670:SF89)	chaperone(PC00072)		cellular response to heat(GO:0034605)	
Zm00001eb109190	Protein TIFY	PROTEIN TIFY 10B (PTHR33077:SF140)			response to wounding(GO:0009611);regulation of defense response(GO:0031347);regulation of jasmonic acid mediated signaling pathway(GO:2000022)	nucleus(GO:0005634)
Zm00001eb301740	Uncharacterized protein					
Zm00001eb298500	3'-5' exonuclease domain-containing protein	"POLYNUCLEOTIDYL TRANSFERASE, RIBONUCLEASE H-LIKE SUPERFAMILY PROTEIN (PTHR13620:SF59)"		nucleic acid binding(GO:0003676);nuclease activity(GO:0004518);3'-5' exonuclease activity(GO:0008408);hydrolase activity(GO:0016787)	nucleobase-containing compound metabolic process(GO:0006139)	nucleus(GO:0005634);cytoplasm(GO:0005737)
Zm00001eb041320	MYB transcription factor	MYB TRANSCRIPTION FACTOR (PTHR10641:SF1133)	homeodomain transcription factor(PC00119)	transcription cis-regulatory region binding(GO:0000976);DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700)	regulation of DNA-templated transcription(GO:0006355);response to auxin(GO:0009733);regulation of lignin biosynthetic process(GO:1901141)	nucleus(GO:0005634)
