GeneID	GeneName	Family_Subfamily	Protein_Class	GO_MF	GO_BP	GO_CC
Zm00001eb386720	Homogentisate geranylgeranyl transferase1	"HOMOGENTISATE GERANYLGERANYLTRANSFERASE, CHLOROPLASTIC (PTHR43009:SF7)"	transferase(PC00220)	"prenyltransferase activity(GO:0004659);transferase activity(GO:0016740);transferase activity, transferring alkyl or aryl (other than methyl) groups(GO:0016765)"	vitamin E biosynthetic process(GO:0010189)	membrane(GO:0016020)
Zm00001eb183790	Exocyst subunit Exo70 family protein	EXOCYST SUBUNIT EXO70 FAMILY PROTEIN (PTHR12542:SF83)	membrane traffic protein(PC00150)	"hydroxymethylglutaryl-CoA reductase (NADPH) activity(GO:0004420);phosphatidylinositol-4,5-bisphosphate binding(GO:0005546);oxidoreductase activity(GO:0016491);oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor(GO:0016616)"	exocytosis(GO:0006887);isoprenoid biosynthetic process(GO:0008299);protein transport(GO:0015031);coenzyme A metabolic process(GO:0015936)	exocyst(GO:0000145)
Zm00001eb286430	Protein LIGHT-DEPENDENT SHORT HYPOCOTYLS 5	PROTEIN LIGHT-DEPENDENT SHORT HYPOCOTYLS 6 (PTHR31165:SF59)		DNA binding(GO:0003677)	mRNA transcription(GO:0009299);response to light stimulus(GO:0009416)	nucleus(GO:0005634)
Zm00001eb346510	Uncharacterized protein					
Zm00001eb425520	"Ribosome-recycling factor, chloroplastic"	MITOCHONDRIAL RIBOSOME RECYCLING FACTOR PSEUDO 1 (PTHR20982:SF3)	translation release factor(PC00225)	ribosomal large subunit binding(GO:0043023)	translation(GO:0006412)	cytoplasm(GO:0005737);mitochondrion(GO:0005739)
Zm00001eb069330	Wound induced protein	WOUND INDUCED PROTEIN (PTHR33090:SF82)				
Zm00001eb358040	DNA methyl transferase4	TRNA (CYTOSINE(38)-C(5))-METHYLTRANSFERASE (PTHR46098:SF1)	RNA processing factor(PC00147)	methyltransferase activity(GO:0008168);tRNA (cytidine-5-)-methyltransferase activity(GO:0016428);transferase activity(GO:0016740)	tRNA processing(GO:0008033);methylation(GO:0032259)	nucleus(GO:0005634)
Zm00001eb432900	Uncharacterized protein					
Zm00001eb358170	10-deacetylbaccatin III 10-O-acetyltransferase	OS01G0615200 PROTEIN (PTHR31147:SF36)	transferase(PC00220)	"transferase activity(GO:0016740);acyltransferase activity, transferring groups other than amino-acyl groups(GO:0016747)"		
Zm00001eb150860	RING-type domain-containing protein	OS01G0796700 PROTEIN (PTHR46537:SF2)		zinc ion binding(GO:0008270);metal ion binding(GO:0046872)		
Zm00001eb215190	Putative WRKY transcription factor 74	PROTEIN WRKY1 (PTHR31282:SF106)	DNA-binding transcription factor(PC00218)	transcription cis-regulatory region binding(GO:0000976);DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700);sequence-specific DNA binding(GO:0043565)	regulation of DNA-templated transcription(GO:0006355)	nucleus(GO:0005634)
Zm00001eb335220	Protein ABCI7 chloroplastic	"PROTEIN ABCI7, CHLOROPLASTIC (PTHR43575:SF1)"			iron-sulfur cluster assembly(GO:0016226)	plastid(GO:0009536);iron-sulfur cluster assembly complex(GO:1990229)
Zm00001eb340020	Secreted protein					
Zm00001eb287200	FAF domain-containing protein	PROTEIN FANTASTIC FOUR 1 (PTHR33155:SF8)				
Zm00001eb422270	Receptor-like serine_threonine-protein kinase	RECEPTOR-LIKE SERINE_THREONINE-PROTEIN KINASE (PTHR47975:SF8)		nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740)	recognition of pollen(GO:0048544);response to other organism(GO:0051707)	membrane(GO:0016020)
Zm00001eb431140	F-box domain containing protein	OS04G0619700 PROTEIN (PTHR19855:SF19)			cellular response to phosphate starvation(GO:0016036)	nucleus(GO:0005634);cytoplasm(GO:0005737)
Zm00001eb060010	Tetratricopeptide repeat (TPR)-like superfamily protein	TRAFFICKING PROTEIN PARTICLE COMPLEX SUBUNIT 8 (PTHR12975:SF6)				TRAPPIII protein complex(GO:1990072)
Zm00001eb162890	"1,3-beta-glucan synthase"	"1,3-BETA-GLUCAN SYNTHASE (PTHR12741:SF13)"		"1,3-beta-D-glucan synthase activity(GO:0003843);transferase activity(GO:0016740);glycosyltransferase activity(GO:0016757);glucosyltransferase activity(GO:0046527)"	(1->3)-beta-D-glucan biosynthetic process(GO:0006075);regulation of cell shape(GO:0008360)	"1,3-beta-D-glucan synthase complex(GO:0000148);plasma membrane(GO:0005886);membrane(GO:0016020)"
Zm00001eb287390	Ribosome biogenesis protein BMS1_TSR1 C-terminal domain-containing protein				ribosome biogenesis(GO:0042254)	
Zm00001eb339890	Mono-_di-acylglycerol lipase N-terminal	LIPASE CLASS 3 FAMILY PROTEIN (PTHR46023:SF6)	lipase(PC00143)		lipid metabolic process(GO:0006629);lipid catabolic process(GO:0016042)	
Zm00001eb287410	Peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase A protein	OS05G0395000 PROTEIN (PTHR31104:SF5)				
Zm00001eb215070	"Photosystem I assembly factor PSA3, chloroplastic"	"PHOTOSYSTEM I ASSEMBLY FACTOR PSA3, CHLOROPLASTIC (PTHR36770:SF1)"	chaperone(PC00072)		photosystem I assembly(GO:0048564)	chloroplast thylakoid membrane(GO:0009535);stromal side of plastid thylakoid membrane(GO:0098572)
Zm00001eb352180	60S ribosomal protein L24	OS05G0486700 PROTEIN (PTHR10792:SF48)	ribosomal protein(PC00202)	mRNA binding(GO:0003729);structural constituent of ribosome(GO:0003735)	cytoplasmic translation(GO:0002181)	ribosome(GO:0005840);cytosolic large ribosomal subunit(GO:0022625);ribonucleoprotein complex(GO:1990904)
Zm00001eb413190	Germin-like protein	GERMIN-LIKE PROTEIN SUBFAMILY 1 MEMBER 10-RELATED (PTHR31238:SF298)		manganese ion binding(GO:0030145);metal ion binding(GO:0046872)		apoplast(GO:0048046)
Zm00001eb425400	Fungal lipase-like domain-containing protein	LIPASE CLASS 3 FAMILY PROTEIN (PTHR47030:SF2)	lipase(PC00143)		lipid metabolic process(GO:0006629)	
Zm00001eb189170	Phosphatidylinositol_phosphatidylcholine transfer protein SFH13	PHOSPHATIDYLINOSITOL_PHOSPHATIDYLCHOLINE TRANSFER PROTEIN SFH13 (PTHR45657:SF8)		phosphatidylinositol transfer activity(GO:0008526)	post-Golgi vesicle-mediated transport(GO:0006892);protein transport(GO:0015031);phospholipid transport(GO:0015914);intermembrane lipid transfer(GO:0120009)	Golgi membrane(GO:0000139);plasma membrane(GO:0005886)
Zm00001eb358010	Plant Tudor-like RNA-binding protein	OS01G0611200 PROTEIN (PTHR33432:SF35)			defense response to fungus(GO:0050832)	nucleus(GO:0005634)
Zm00001eb422500	Late embryogenesis abundant protein LEA-2 subgroup domain-containing protein					
Zm00001eb083100	DUF1618 domain-containing protein	DUF1618 DOMAIN-CONTAINING PROTEIN (PTHR33086:SF58)				
Zm00001eb177890	Uncharacterized protein	CYTOCHROME P450 (PTHR24296:SF113)	oxygenase(PC00177)	"monooxygenase activity(GO:0004497);iron ion binding(GO:0005506);oxidoreductase activity(GO:0016491);oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen(GO:0016705);heme binding(GO:0020037);metal ion binding(GO:0046872)"	lipid metabolic process(GO:0006629)	
Zm00001eb178510	Clavaminate synthase-like protein	OS08G0383800 PROTEIN (PTHR10696:SF42)	hydroxylase(PC00122)	oxidoreductase activity(GO:0016491)		
Zm00001eb214670	ABC transporter B family member 27	ABC TRANSPORTER B FAMILY MEMBER 27 (PTHR24221:SF547)	ATP-binding cassette (ABC) transporter(PC00003)	nucleotide binding(GO:0000166);ATP binding(GO:0005524);ATP hydrolysis activity(GO:0016887);ATPase-coupled transmembrane transporter activity(GO:0042626);ABC-type transporter activity(GO:0140359)	response to aluminum ion(GO:0010044);transmembrane transport(GO:0055085)	vacuole(GO:0005773);vacuolar membrane(GO:0005774);membrane(GO:0016020)
Zm00001eb380520	Amino acid transporter transmembrane domain-containing protein	AMINO ACID TRANSPORTER AVT6A (PTHR22950:SF643)	amino acid transporter(PC00046)	L-amino acid transmembrane transporter activity(GO:0015179)	amino acid transmembrane transport(GO:0003333);amino acid transport(GO:0006865);L-alpha-amino acid transmembrane transport(GO:1902475)	membrane(GO:0016020);organelle membrane(GO:0031090)
Zm00001eb179260	Annexin	ANNEXIN (PTHR10502:SF120)	calcium-binding protein(PC00060)	phosphatidylserine binding(GO:0001786);calcium ion binding(GO:0005509);calcium-dependent phospholipid binding(GO:0005544);metal ion binding(GO:0046872)	response to stress(GO:0006950);response to heat(GO:0009408);response to cold(GO:0009409);response to water deprivation(GO:0009414);response to salt stress(GO:0009651)	cytoplasm(GO:0005737);plasma membrane(GO:0005886)
Zm00001eb270470	"Single-stranded DNA-binding protein WHY1, chloroplastic"	"SINGLE-STRANDED DNA-BINDING PROTEIN WHY1, CHLOROPLASTIC (PTHR31745:SF2)"	DNA metabolism protein(PC00009)	DNA binding(GO:0003677);single-stranded DNA binding(GO:0003697);RNA binding(GO:0003723)	DNA repair(GO:0006281);regulation of DNA-templated transcription(GO:0006355);defense response(GO:0006952);DNA damage response(GO:0006974);negative regulation of DNA recombination(GO:0045910)	nucleus(GO:0005634);chloroplast stroma(GO:0009570)
Zm00001eb427820	H15 domain-containing protein	H15 DOMAIN-CONTAINING PROTEIN (PTHR11467:SF109)	"chromatin/chromatin-binding, or -regulatory protein(PC00077)"	DNA binding(GO:0003677);double-stranded DNA binding(GO:0003690);nucleosomal DNA binding(GO:0031492)	nucleosome assembly(GO:0006334);chromosome condensation(GO:0030261);negative regulation of DNA recombination(GO:0045910)	nucleosome(GO:0000786);nucleus(GO:0005634);nucleolus(GO:0005730)
Zm00001eb091780	V-type proton ATPase proteolipid subunit	V-TYPE PROTON ATPASE 16 KDA PROTEOLIPID SUBUNIT (PTHR10263:SF61)	ATP synthase(PC00002)	"proton transmembrane transporter activity(GO:0015078);proton-transporting ATPase activity, rotational mechanism(GO:0046961)"	monoatomic ion transport(GO:0006811);proton transmembrane transport(GO:1902600)	"vacuolar membrane(GO:0005774);membrane(GO:0016020);proton-transporting two-sector ATPase complex, proton-transporting domain(GO:0033177);proton-transporting V-type ATPase, V0 domain(GO:0033179)"
Zm00001eb411850	FBD domain-containing protein	FBD DOMAIN-CONTAINING PROTEIN (PTHR34145:SF65)				
Zm00001eb040700	ARID domain-containing protein	AT-RICH INTERACTIVE DOMAIN-CONTAINING PROTEIN 4 (PTHR46694:SF1)				
Zm00001eb177970	Uncharacterized protein	OS04G0438300 PROTEIN (PTHR34544:SF1)				nucleus(GO:0005634)
Zm00001eb411890	Uncharacterized protein					
Zm00001eb287280	Decapping nuclease	DECAPPING AND EXORIBONUCLEASE PROTEIN (PTHR12395:SF9)		nucleotide binding(GO:0000166);3'-5'-RNA exonuclease activity(GO:0000175);RNA binding(GO:0003723);nuclease activity(GO:0004518);5'-3' RNA exonuclease activity(GO:0004534);hydrolase activity(GO:0016787);mRNA 5'-diphosphatase activity(GO:0034353);metal ion binding(GO:0046872)	nuclear-transcribed mRNA catabolic process(GO:0000956);RNA decapping(GO:0110154);NAD-cap decapping(GO:0110155)	nucleus(GO:0005634);cytosol(GO:0005829)
Zm00001eb225400	Ubiquitin-like protease family profile domain-containing protein			peptidase activity(GO:0008233);cysteine-type peptidase activity(GO:0008234);hydrolase activity(GO:0016787)	proteolysis(GO:0006508)	
Zm00001eb088820	Uncharacterized protein					
Zm00001eb427720	Metal-nicotianamine transporter YSL2	METAL-NICOTIANAMINE TRANSPORTER YSL16-RELATED (PTHR31645:SF19)	transporter(PC00227)			
Zm00001eb357970	V-type proton ATPase subunit c''2	V-TYPE PROTON ATPASE 21 KDA PROTEOLIPID SUBUNIT C'' (PTHR10263:SF18)	ATP synthase(PC00002)	"proton transmembrane transporter activity(GO:0015078);proton-transporting ATPase activity, rotational mechanism(GO:0046961)"	monoatomic ion transport(GO:0006811);proton transmembrane transport(GO:1902600)	"membrane(GO:0016020);proton-transporting two-sector ATPase complex, proton-transporting domain(GO:0033177);proton-transporting V-type ATPase, V0 domain(GO:0033179)"
Zm00001eb411340	Putative alcohol dehydrogenase superfamily protein	OS12G0226400 PROTEIN (PTHR43205:SF75)	reductase(PC00198)	"oxidoreductase activity(GO:0016491);oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor(GO:0016628);2-alkenal reductase [NAD(P)H] activity(GO:0032440)"		
Zm00001eb215350	Syntaxin-related protein KNOLLE	SYNTAXIN-RELATED PROTEIN KNOLLE (PTHR19957:SF251)	SNARE protein(PC00034)	SNARE binding(GO:0000149);SNAP receptor activity(GO:0005484)	intracellular protein transport(GO:0006886);exocytosis(GO:0006887);vesicle fusion(GO:0006906);protein transport(GO:0015031);vesicle-mediated transport(GO:0016192);vesicle docking(GO:0048278)	plasma membrane(GO:0005886);endomembrane system(GO:0012505);membrane(GO:0016020);SNARE complex(GO:0031201)
Zm00001eb430630	RING_FYVE_PHD zinc finger superfamily protein	PROTEIN FORGETTER 1 (PTHR12706:SF13)		zinc ion binding(GO:0008270);chromatin DNA binding(GO:0031490);histone binding(GO:0042393);metal ion binding(GO:0046872)	regulation of DNA-templated transcription(GO:0006355)	nucleus(GO:0005634)
Zm00001eb028060	BFN domain-containing protein	BIFUNCTIONAL NUCLEASE 1 (PTHR15160:SF3)	ubiquitin-protein ligase(PC00234)			
Zm00001eb093590	4-coumarate--CoA ligase	LONG CHAIN ACYL-COA SYNTHETASE 8 (PTHR43272:SF92)	ligase(PC00142)	long-chain fatty acid-CoA ligase activity(GO:0004467);4-coumarate-CoA ligase activity(GO:0016207);trans-cinnamate-CoA ligase activity(GO:0106290)	long-chain fatty acid metabolic process(GO:0001676);phenylpropanoid metabolic process(GO:0009698)	endoplasmic reticulum(GO:0005783);membrane(GO:0016020)
Zm00001eb266430	Preprotein translocase Sec Sec61-beta subunit protein	OS12G0103300 PROTEIN (PTHR13509:SF25)	membrane traffic protein(PC00150)	guanyl-nucleotide exchange factor activity(GO:0005085)	"SRP-dependent cotranslational protein targeting to membrane, translocation(GO:0006616);intracellular protein transport(GO:0006886);protein transport(GO:0015031);post-translational protein targeting to membrane, translocation(GO:0031204)"	Sec61 translocon complex(GO:0005784);endoplasmic reticulum membrane(GO:0005789);membrane(GO:0016020)
Zm00001eb397780	Uncharacterized protein					
Zm00001eb431120	F-box_kelch-repeat protein	OS04G0619300 PROTEIN (PTHR46122:SF6)	oxidase(PC00175)			nucleus(GO:0005634)
Zm00001eb431330	AT hook motif family protein	PROTEIN METABOLIC NETWORK MODULATOR 1 (PTHR34682:SF1)				
Zm00001eb162270	Uncharacterized protein					
Zm00001eb430660	Myb_SANT-like domain-containing protein	OS01G0523800 PROTEIN (PTHR46250:SF15)				
Zm00001eb345760	DNA_RNA-binding protein Alba-like domain-containing protein	DNA_RNA-BINDING PROTEIN ALBA-LIKE DOMAIN-CONTAINING PROTEIN (PTHR31947:SF42)		nucleic acid binding(GO:0003676);RNA binding(GO:0003723)		nucleus(GO:0005634)
Zm00001eb051740	LisH domain-containing protein			transcription corepressor activity(GO:0003714)	negative regulation of DNA-templated transcription(GO:0045892)	nucleus(GO:0005634)
Zm00001eb057220	Uncharacterized protein					
Zm00001eb085020	Ribosomal protein L2 C-terminal domain-containing protein	LARGE RIBOSOMAL SUBUNIT PROTEIN UL2CZ_UL2CY (PTHR13691:SF57)	ribosomal protein(PC00202)	RNA binding(GO:0003723);structural constituent of ribosome(GO:0003735);transferase activity(GO:0016740)	translation(GO:0006412);mitochondrial translation(GO:0032543)	cytoplasm(GO:0005737);mitochondrial large ribosomal subunit(GO:0005762);ribosome(GO:0005840);chloroplast(GO:0009507);large ribosomal subunit(GO:0015934);ribonucleoprotein complex(GO:1990904)
Zm00001eb432850	"Chlorophyll a-b binding protein, chloroplastic"			chlorophyll binding(GO:0016168)	"photosynthesis, light harvesting(GO:0009765);photosynthesis(GO:0015979)"	photosystem I(GO:0009522);photosystem II(GO:0009523);chloroplast thylakoid membrane(GO:0009535);membrane(GO:0016020)
Zm00001eb287190	G domain-containing protein	SARCALUMENIN (PTHR43681:SF1)	G-protein(PC00020)	GTP binding(GO:0005525)	thylakoid membrane organization(GO:0010027);vegetative to reproductive phase transition of meristem(GO:0010228);negative regulation of plant-type hypersensitive response(GO:0034051);negative regulation of defense response to bacterium(GO:1900425)	chloroplast outer membrane(GO:0009707);chloroplast membrane(GO:0031969)
Zm00001eb201440	Protein kinase protein with adenine nucleotide alpha hydrolase-like domain	OS11G0194900 PROTEIN (PTHR27001:SF917)		nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740);hydrolase activity(GO:0016787)	signal transduction(GO:0007165)	plasma membrane(GO:0005886)
Zm00001eb057080	DUF1677 family protein	EXPRESSED PROTEIN (PTHR33108:SF8)				
Zm00001eb173690	Uncharacterized protein					
Zm00001eb178800	FRIGIDA-like protein	WD REPEAT-CONTAINING PROTEIN 44-LIKE (PTHR14221:SF67)		hydrolase activity(GO:0016787)	flower development(GO:0009908);cell differentiation(GO:0030154)	
Zm00001eb215310	Endoglucanase	ENDOGLUCANASE 10 (PTHR22298:SF171)				
Zm00001eb335210	Bowman-Birk type wound-induced proteinase inhibitor WIP1	BOWMAN-BIRK TYPE WOUND-INDUCED PROTEINASE INHIBITOR WIP1 (PTHR37378:SF2)		serine-type endopeptidase inhibitor activity(GO:0004867);peptidase inhibitor activity(GO:0030414)		extracellular region(GO:0005576)
Zm00001eb214320	protein-serine_threonine phosphatase (Fragment)	PROTEIN PHOSPHATASE 2C 34-RELATED (PTHR47992:SF58)	protein phosphatase(PC00195)	phosphoprotein phosphatase activity(GO:0004721);protein serine/threonine phosphatase activity(GO:0004722);hydrolase activity(GO:0016787);cation binding(GO:0043169);metal ion binding(GO:0046872)	regulation of intracellular signal transduction(GO:1902531)	
Zm00001eb397400	Peptidase M50B-like protein	PEPTIDASE M50B-LIKE-DOMAIN-CONTAINING PROTEIN (PTHR33979:SF2)				
Zm00001eb427800	Cationic amino acid transporter C-terminal domain-containing protein	OS04G0543600 PROTEIN (PTHR43243:SF3)	amino acid transporter(PC00046)	amino acid transmembrane transporter activity(GO:0015171);transmembrane transporter activity(GO:0022857)	amino acid transmembrane transport(GO:0003333);amino acid transport(GO:0006865);transmembrane transport(GO:0055085)	plasma membrane(GO:0005886);membrane(GO:0016020)
Zm00001eb287600	"Oxidoreductase, 2OG-Fe oxygenase family protein"	RNA DEMETHYLASE ALKBH10B (PTHR31447:SF2)		mRNA binding(GO:0003729);demethylase activity(GO:0032451)	mRNA catabolic process(GO:0006402)	
Zm00001eb422490	40S ribosomal protein S10-1	RIBOSOMAL PROTEIN S10 (PTHR12146:SF0)	ribosomal protein(PC00202)	RNA binding(GO:0003723);structural constituent of ribosome(GO:0003735)		cytoplasm(GO:0005737);ribosome(GO:0005840);cytosolic small ribosomal subunit(GO:0022627);ribonucleoprotein complex(GO:1990904)
Zm00001eb060040	IQ-domain 5	PROTEIN IQ-DOMAIN 5 (PTHR32295:SF123)		calmodulin binding(GO:0005516)		
Zm00001eb151030	Uncharacterized protein	OS01G0793800 PROTEIN (PTHR33647:SF1)				
Zm00001eb189100	Alpha-6-galactosyltransferase	GLYCOSYLTRANSFERASE 7-RELATED (PTHR31311:SF3)	transferase(PC00220)	galactosyltransferase activity(GO:0008378);transferase activity(GO:0016740);glycosyltransferase activity(GO:0016757)		Golgi membrane(GO:0000139);membrane(GO:0016020)
Zm00001eb317270	Peptidase S8_S53 domain-containing protein	SUBTILISIN-LIKE PROTEASE SBT4.4 (PTHR10795:SF837)	serine protease(PC00203)	serine-type endopeptidase activity(GO:0004252);peptidase activity(GO:0008233);serine-type peptidase activity(GO:0008236);hydrolase activity(GO:0016787)	proteolysis(GO:0006508)	extracellular region(GO:0005576)
Zm00001eb060060	Uncharacterized protein					
Zm00001eb225260	C3H1-type domain-containing protein	ZINC FINGER CCCH DOMAIN-CONTAINING PROTEIN 40 (PTHR38160:SF1)		DNA binding(GO:0003677);zinc ion binding(GO:0008270);metal ion binding(GO:0046872)		
Zm00001eb335130	Uncharacterized protein					
Zm00001eb287620	B3 domain-containing transcription repressor VAL2					
Zm00001eb052780	Uncharacterized protein					
Zm00001eb409790	Uncharacterized protein	EXPRESSED PROTEIN (PTHR33699:SF28)				
Zm00001eb215110	Histone H2A	HISTONE H2A VARIANT 3-RELATED (PTHR23430:SF351)	"chromatin/chromatin-binding, or -regulatory protein(PC00077)"	DNA binding(GO:0003677);structural constituent of chromatin(GO:0030527);protein heterodimerization activity(GO:0046982)	heterochromatin formation(GO:0031507)	nucleosome(GO:0000786);nucleus(GO:0005634);chromosome(GO:0005694)
Zm00001eb176980	Putative SWI_SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 3-like 3	DNA REPAIR PROTEIN RAD5 (PTHR45626:SF22)		"nucleotide binding(GO:0000166);nucleic acid binding(GO:0003676);helicase activity(GO:0004386);ATP binding(GO:0005524);ATP-dependent activity, acting on DNA(GO:0008094);zinc ion binding(GO:0008270);hydrolase activity(GO:0016787);hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides(GO:0016818);metal ion binding(GO:0046872)"	DNA repair(GO:0006281);DNA damage response(GO:0006974)	nucleus(GO:0005634)
Zm00001eb369980	Jacalin-related lectin 3			carbohydrate binding(GO:0030246)		
Zm00001eb287320	Protein kinase domain-containing protein					
Zm00001eb287440	Uncharacterized protein	CYTOCHROME P450 FAMILY PROTEIN (PTHR35124:SF1)	oxygenase(PC00177)			
Zm00001eb177960	Uncharacterized protein			hydrolase activity(GO:0016787)		
Zm00001eb189250	Glucosamine 6-phosphate N-acetyltransferase	GLUCOSAMINE 6-PHOSPHATE N-ACETYLTRANSFERASE (PTHR13355:SF11)	acetyltransferase(PC00038)	"glucosamine 6-phosphate N-acetyltransferase activity(GO:0004343);transferase activity(GO:0016740);acyltransferase activity(GO:0016746);acyltransferase activity, transferring groups other than amino-acyl groups(GO:0016747)"	N-acetylglucosamine metabolic process(GO:0006044);UDP-N-acetylglucosamine biosynthetic process(GO:0006048)	endoplasmic reticulum membrane(GO:0005789)
Zm00001eb356070	WAT1-related protein	WAT1-RELATED PROTEIN (PTHR31218:SF162)		transmembrane transporter activity(GO:0022857)	transmembrane transport(GO:0055085)	plasma membrane(GO:0005886);membrane(GO:0016020)
Zm00001eb370050	Polyketide cyclase _ dehydrase and lipid transport protein	"COENZYME Q-BINDING PROTEIN COQ10, MITOCHONDRIAL (PTHR12901:SF10)"		ubiquinone binding(GO:0048039)	cellular respiration(GO:0045333)	nucleus(GO:0005634);mitochondrion(GO:0005739)
Zm00001eb099440	non-specific serine_threonine protein kinase	CBL-INTERACTING SERINE_THREONINE-PROTEIN KINASE 25 (PTHR43895:SF162)		nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740)	signal transduction(GO:0007165)	
Zm00001eb151010	Uncharacterized protein	OS01G0793900 PROTEIN (PTHR33647:SF5)				
Zm00001eb017110	Isoflavone 2'-hydroxylase	CYTOCHROME P450 CYP81L6 (PTHR47947:SF9)	oxygenase(PC00177)	"monooxygenase activity(GO:0004497);iron ion binding(GO:0005506);oxidoreductase activity(GO:0016491);oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen(GO:0016705);heme binding(GO:0020037);metal ion binding(GO:0046872)"		
Zm00001eb023310	Uncharacterized protein					
Zm00001eb431190	Bromodomain containing protein	OS04G0622000 PROTEIN (PTHR45926:SF6)				
Zm00001eb294640	Programmed cell death protein 5	PROGRAMMED CELL DEATH PROTEIN 5 (PTHR10840:SF0)	protein-binding activity modulator(PC00095)	DNA binding(GO:0003677)		nucleus(GO:0005634);cytosol(GO:0005829)
Zm00001eb369670	F1F0-ATPase inhibitor protein	OS08G0559000 PROTEIN (PTHR33878:SF1)				respiratory chain complex I(GO:0045271)
Zm00001eb409820	Uncharacterized protein					
Zm00001eb178860	Ubiquitin-like protease family profile domain-containing protein	OS02G0805600 PROTEIN (PTHR48106:SF8)	oxidoreductase(PC00176)	"peptidase activity(GO:0008233);cysteine-type peptidase activity(GO:0008234);oxidoreductase activity(GO:0016491);oxidoreductase activity, acting on NAD(P)H(GO:0016651);hydrolase activity(GO:0016787)"	proteolysis(GO:0006508)	
Zm00001eb420330	Phosphoribulokinase_uridine kinase domain-containing protein			ATP binding(GO:0005524);kinase activity(GO:0016301)		
Zm00001eb432860	Uncharacterized protein					
Zm00001eb150660	Uncharacterized protein					
Zm00001eb397880	Serine_threonine-protein phosphatase	SERINE_THREONINE-PROTEIN PHOSPHATASE (PTHR11668:SF300)	protein phosphatase(PC00195)	phosphoprotein phosphatase activity(GO:0004721);protein serine/threonine phosphatase activity(GO:0004722);hydrolase activity(GO:0016787);metal ion binding(GO:0046872)		nucleus(GO:0005634);cytoplasm(GO:0005737)
Zm00001eb422030	Uncharacterized protein					
Zm00001eb162650	WAT1-related protein	WAT1-RELATED PROTEIN (PTHR31218:SF197)		transmembrane transporter activity(GO:0022857)	transmembrane transport(GO:0055085)	plasma membrane(GO:0005886);membrane(GO:0016020)
Zm00001eb431260	Uncharacterized protein	OS04G0624701 PROTEIN (PTHR35495:SF4)				
Zm00001eb178680	ABC transporter domain-containing protein	OS08G0398350 PROTEIN (PTHR19229:SF141)	ATP-binding cassette (ABC) transporter(PC00003)	nucleotide binding(GO:0000166);lipid transporter activity(GO:0005319);ATP binding(GO:0005524);ATP hydrolysis activity(GO:0016887);ATPase-coupled transmembrane transporter activity(GO:0042626);ABC-type transporter activity(GO:0140359)	lipid transport(GO:0006869);transmembrane transport(GO:0055085)	membrane(GO:0016020)
Zm00001eb099450	Uncharacterized protein					
Zm00001eb201430	Protein kinase domain-containing protein	PROTEIN KINASE DOMAIN-CONTAINING PROTEIN (PTHR27005:SF286)	transmembrane signal receptor(PC00197)	nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);calcium ion binding(GO:0005509);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740);polysaccharide binding(GO:0030247)	cell surface receptor signaling pathway(GO:0007166)	plasma membrane(GO:0005886);membrane(GO:0016020)
Zm00001eb101980	AT-hook motif nuclear-localized protein	AT-HOOK MOTIF NUCLEAR-LOCALIZED PROTEIN 10 (PTHR31500:SF57)		DNA binding(GO:0003677);minor groove of adenine-thymine-rich DNA binding(GO:0003680)		nucleus(GO:0005634)
Zm00001eb432780	Mediator of RNA polymerase II transcription subunit 7	MEDIATOR OF RNA POLYMERASE II TRANSCRIPTION SUBUNIT 7 (PTHR21428:SF11)	general transcription factor(PC00259)	transcription coregulator activity(GO:0003712)	regulation of transcription by RNA polymerase II(GO:0006357)	nucleus(GO:0005634);mediator complex(GO:0016592);core mediator complex(GO:0070847)
Zm00001eb052890	Nicotianamine synthase	NICOTIANAMINE SYNTHASE 3 (PTHR32266:SF12)		transferase activity(GO:0016740);nicotianamine synthase activity(GO:0030410)	nicotianamine biosynthetic process(GO:0030418)	
Zm00001eb215170	CDK-activating kinase assembly factor MAT1 family protein	CDK-ACTIVATING KINASE ASSEMBLY FACTOR MAT1 (PTHR12683:SF13)	chaperone(PC00072)	kinase activity(GO:0016301)	DNA repair(GO:0006281);regulation of transcription by RNA polymerase II(GO:0006357)	transcription factor TFIIH holo complex(GO:0005675)
Zm00001eb386690	PB1 domain-containing protein					
