GeneID,GeneSymbol,Family_Subfamily,Protein_Class,GO_MF,GO_BO,GO_CC
Zm00001eb307170,Cyclin-like domain-containing protein;100283163;PTN008936560;orthologs,LD24704P (PTHR10026:SF13),kinase activator(PC00138),cyclin-dependent protein serine/threonine kinase regulator activity(GO:0016538),regulation of transcription by RNA polymerase II(GO:0006357),nucleus(GO:0005634)
Zm00001eb036070,Asparagine synthetase domain-containing protein;unassigned;;orthologs,,,nucleotide binding(GO:0000166);asparagine synthase (glutamine-hydrolyzing) activity(GO:0004066);ATP binding(GO:0005524),,
Zm00001eb102170,Pathogenesis-related thaumatin superfamily protein;103647557;PTN002827196;orthologs,PATHOGENESIS-RELATED THAUMATIN SUPERFAMILY PROTEIN (PTHR31048:SF115),,,defense response(GO:0006952),
Zm00001eb334200,Iron-sulfur assembly protein IscA-like 1 mitochondrial;100280739;PTN002560310;orthologs,"IRON-SULFUR CLUSTER ASSEMBLY 1 HOMOLOG, MITOCHONDRIAL (PTHR10072:SF41)",chaperone(PC00072),"iron-sulfur cluster binding(GO:0051536);2 iron, 2 sulfur cluster binding(GO:0051537)",iron-sulfur cluster assembly(GO:0016226);protein maturation(GO:0051604),cytoplasm(GO:0005737);mitochondrion(GO:0005739)
Zm00001eb168880,EMB2756 (EMBRYO DEFECTIVE 2756);ZEAMMB73_Zm00001d049095;PTN002658697;orthologs,TRANSMEMBRANE PROTEIN (DUF616) (PTHR12956:SF24),,,,
Zm00001eb002640,40S ribosomal protein SA;unassigned;PTN002608416;orthologs,40S RIBOSOMAL PROTEIN SA (PTHR11489:SF32),ribosomal protein(PC00202),structural constituent of ribosome(GO:0003735),ribosomal small subunit assembly(GO:0000028);cytoplasmic translation(GO:0002181);translation(GO:0006412),cytoplasm(GO:0005737);ribosome(GO:0005840);small ribosomal subunit(GO:0015935);cytosolic small ribosomal subunit(GO:0022627);ribonucleoprotein complex(GO:1990904)
Zm00001eb257250,Quinoprotein amine dehydrogenase beta chain-like;ZEAMMB73_Zm00001d018316;PTN002733478;orthologs,GUANINE NUCLEOTIDE EXCHANGE FACTOR SUBUNIT RIC1 (PTHR22746:SF10),,,"intracellular protein transport(GO:0006886);retrograde transport, endosome to Golgi(GO:0042147)",Golgi membrane(GO:0000139);cytosol(GO:0005829);membrane(GO:0016020);Ric1-Rgp1 guanyl-nucleotide exchange factor complex(GO:0034066)
Zm00001eb211000,MICOS complex subunit Mic10;103625728;PTN002723913;orthologs,MICOS COMPLEX SUBUNIT MIC10 (PTHR21304:SF0),,,,mitochondrion(GO:0005739);mitochondrial inner membrane(GO:0005743);MICOS complex(GO:0061617)
Zm00001eb041190,Dephospho-CoA kinase;ZEAMMB73_Zm00001d032160;PTN002581634;orthologs,BIFUNCTIONAL COENZYME A SYNTHASE-RELATED (PTHR10695:SF46),kinase(PC00137),nucleotide binding(GO:0000166);dephospho-CoA kinase activity(GO:0004140);ATP binding(GO:0005524);kinase activity(GO:0016301),coenzyme A biosynthetic process(GO:0015937),cytoplasm(GO:0005737)
Zm00001eb360610,Alpha_beta-Hydrolases superfamily protein;ZEAMMB73_Zm00001d011624;PTN002641552;orthologs,ALPHA_BETA-HYDROLASES SUPERFAMILY PROTEIN (PTHR12277:SF130),serine protease(PC00203),palmitoyl-(protein) hydrolase activity(GO:0008474);hydrolase activity(GO:0016787),macromolecule depalmitoylation(GO:0098734),
Zm00001eb367800,Uncharacterized protein;unassigned;PTN002856169;orthologs,DIHYDRONEOPTERIN ALDOLASE_EPIMERASE DOMAIN-CONTAINING PROTEIN (PTHR34395:SF5),,,,
Zm00001eb420620,WPP domain-associated protein;ZEAMMB73_Zm00001d025167;PTN009148852;orthologs,OS07G0147800 PROTEIN (PTHR33883:SF4),,,,
Zm00001eb282100,DCD (Development and Cell Death) domain protein;103630038;PTN002917235;orthologs,DCD (DEVELOPMENT AND CELL DEATH) DOMAIN PROTEIN (PTHR46034:SF15),,,response to endoplasmic reticulum stress(GO:0034976),
Zm00001eb333540,Dynein light chain;100382335;PTN002628129;orthologs,DYNEIN LIGHT CHAIN (PTHR11886:SF35),microtubule or microtubule-binding cytoskeletal protein(PC00157),dynein intermediate chain binding(GO:0045505),microtubule-based process(GO:0007017),cytoskeleton(GO:0005856);cytoplasmic dynein complex(GO:0005868);microtubule(GO:0005874);microtubule associated complex(GO:0005875);microtubule cytoskeleton(GO:0015630);dynein complex(GO:0030286)
Zm00001eb205770,DUF4050 domain-containing protein;100275083;PTN009144434;orthologs,DUF4050 DOMAIN-CONTAINING PROTEIN (PTHR33373:SF1),,,,
Zm00001eb000680,Uncharacterized protein;103630678;PTN002860445;orthologs,OS03G0108700 PROTEIN (PTHR35500:SF1),,,,
Zm00001eb055340,Uncharacterized protein;unassigned;;orthologs,,,,,
Zm00001eb334120,EXPERA domain-containing protein;732747;PTN009017507;orthologs,"3-BETA-HYDROXYSTEROID-DELTA(8),DELTA(7)-ISOMERASE (PTHR14207:SF0)",isomerase(PC00135),,,
Zm00001eb311660,Protein CHAPERONE-LIKE PROTEIN OF POR1 chloroplastic;100276143;PTN002850341;orthologs,OS09G0380200 PROTEIN (PTHR33372:SF7),,,,chloroplast membrane(GO:0031969)
Zm00001eb328530,Ras-related protein ARA-4;100193344;PTN002785659;orthologs,RAS-RELATED PROTEIN RABA5A (PTHR24073:SF430),small GTPase(PC00208),nucleotide binding(GO:0000166);GTPase activity(GO:0003924);GTP binding(GO:0005525),intracellular protein transport(GO:0006886),endomembrane system(GO:0012505)
Zm00001eb429670,Expansin-B4;ZEAMMB73_Zm00001d026171;PTN002837518;orthologs,EXPANSIN-B4 (PTHR31692:SF139),,,cell wall organization(GO:0071555),extracellular region(GO:0005576)
Zm00001eb036210,Ribosomal protein S4e central region domain-containing protein;unassigned;PTN008973791;orthologs,RIBOSOMAL PROTEIN S4E CENTRAL REGION DOMAIN-CONTAINING PROTEIN (PTHR11581:SF44),ribosomal protein(PC00202),RNA binding(GO:0003723);structural constituent of ribosome(GO:0003735);rRNA binding(GO:0019843),translation(GO:0006412),ribosome(GO:0005840);cytosolic small ribosomal subunit(GO:0022627);ribonucleoprotein complex(GO:1990904)
Zm00001eb299860,DEAD-box ATP-dependent RNA helicase 53;ZEAMMB73_Zm00001d018787;PTN002777428;orthologs,"DEAD-BOX ATP-DEPENDENT RNA HELICASE 53, MITOCHONDRIAL (PTHR24031:SF326)",RNA helicase(PC00032),nucleotide binding(GO:0000166);nucleic acid binding(GO:0003676);helicase activity(GO:0004386);ATP binding(GO:0005524);hydrolase activity(GO:0016787),Group II intron splicing(GO:0000373),cytoplasm(GO:0005737)
Zm00001eb011650,Protein kinase superfamily protein;100274231;PTN002820478;orthologs,OS03G0264300 PROTEIN (PTHR47973:SF67),transmembrane signal receptor(PC00197),nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740),,membrane(GO:0016020)
Zm00001eb277590,Uncharacterized protein;unassigned;;orthologs,,,,,
Zm00001eb398620,ACT domain-containing protein ACR;ZEAMMB73_Zm00001d047917;PTN002828088;orthologs,ACT DOMAIN-CONTAINING PROTEIN ACR (PTHR31096:SF51),,amino acid binding(GO:0016597),,
Zm00001eb124220,Uncharacterized protein;unassigned;;orthologs,,,,,
Zm00001eb193360,1-aminocyclopropane-1-carboxylate oxidase20;ACO20;PTN002565888;orthologs,OS02G0771600 PROTEIN (PTHR47990:SF157),oxygenase(PC00177),1-aminocyclopropane-1-carboxylate oxidase activity(GO:0009815);oxidoreductase activity(GO:0016491);2-oxoglutarate-dependent dioxygenase activity(GO:0016706);L-ascorbic acid binding(GO:0031418);metal ion binding(GO:0046872),ethylene biosynthetic process(GO:0009693);fruit ripening(GO:0009835),
Zm00001eb262410,Uncharacterized protein;unassigned;;orthologs,,,,,
Zm00001eb046950,SNF2 N-terminal domain-containing protein;unassigned;;orthologs,,,nucleotide binding(GO:0000166);ATP binding(GO:0005524);hydrolase activity(GO:0016787),,
Zm00001eb400320,Stellacyanin;100277251;PTN002697245;orthologs,CYCLIN-DEPENDENT KINASE 2-INTERACTING PROTEIN (PTHR15827:SF2),,,,
Zm00001eb046910,Glycine-rich cell wall structural protein 2;ZEAMMB73_Zm00001d032823;PTN002851702;orthologs,GLYCINE-RICH CELL WALL STRUCTURAL PROTEIN 2 (PTHR33548:SF3),,,,
Zm00001eb211350,Squamosa promoter-binding-like protein 1;100191441;PTN002830712;orthologs,SQUAMOSA PROMOTER-BINDING-LIKE PROTEIN 6 (PTHR31251:SF230),,transcription cis-regulatory region binding(GO:0000976);DNA-binding transcription activator activity(GO:0001216);DNA binding(GO:0003677);zinc ion binding(GO:0008270);metal ion binding(GO:0046872),positive regulation of DNA-templated transcription(GO:0045893),nucleus(GO:0005634)
Zm00001eb157400,60S ribosomal protein L18a;100283101;PTN002559823;orthologs,LARGE RIBOSOMAL SUBUNIT PROTEIN EL20 (PTHR10052:SF61),ribosomal protein(PC00202),structural constituent of ribosome(GO:0003735),cytoplasmic translation(GO:0002181);translation(GO:0006412),ribosome(GO:0005840);cytosolic large ribosomal subunit(GO:0022625);ribonucleoprotein complex(GO:1990904)
Zm00001eb226320,Uncharacterized protein;100273378;PTN002865718;orthologs,OS06G0694800 PROTEIN (PTHR37768:SF2),,,,
Zm00001eb325510,Big map kinase_bmk;unassigned;;orthologs,,,,,
Zm00001eb381180,LysM domain-containing GPI-anchored protein 1;103638307;PTN002852864;orthologs,OS02G0769200 PROTEIN (PTHR33734:SF18),,peptidoglycan binding(GO:0042834),immune response(GO:0006955),plasma membrane(GO:0005886)
Zm00001eb031940,Uncharacterized protein;unassigned;PTN008947668;orthologs,"9-CIS-EPOXYCAROTENOID DIOXYGENASE NCED3, CHLOROPLASTIC (PTHR10543:SF26)",oxygenase(PC00177),"carotenoid dioxygenase activity(GO:0010436);oxidoreductase activity(GO:0016491);oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen(GO:0016702);9-cis-epoxycarotenoid dioxygenase activity(GO:0045549);metal ion binding(GO:0046872);dioxygenase activity(GO:0051213)",abscisic acid biosynthetic process(GO:0009688);carotene catabolic process(GO:0016121),chloroplast(GO:0009507);chloroplast stroma(GO:0009570)
Zm00001eb108310,Eukaryotic aspartyl protease family protein;100382594;PTN009011803;orthologs,OS07G0592200 PROTEIN (PTHR13683:SF817),aspartic protease(PC00053),aspartic-type endopeptidase activity(GO:0004190);peptidase activity(GO:0008233);hydrolase activity(GO:0016787),proteolysis(GO:0006508),
Zm00001eb003220,Uncharacterized protein;unassigned;;orthologs,,,,,
Zm00001eb004610,Uncharacterized protein;unassigned;;orthologs,,,,,nucleus(GO:0005634)
Zm00001eb081920,CCT motif family protein;ZEAMMB73_Zm00001d003571;PTN002831648;orthologs,CCT MOTIF FAMILY PROTEIN (PTHR31319:SF71),,,regulation of flower development(GO:0009909),nucleus(GO:0005634)
Zm00001eb206730,WRKY domain-containing protein;unassigned;PTN009120623;orthologs,WRKY TRANSCRIPTION FACTOR WRKY71 (PTHR31429:SF114),DNA-binding transcription factor(PC00218),DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700);sequence-specific DNA binding(GO:0043565),regulation of DNA-templated transcription(GO:0006355);response to other organism(GO:0051707),nucleus(GO:0005634)
Zm00001eb311150,FLZ-type domain-containing protein;unassigned;PTN002846761;orthologs,OS09G0367900 PROTEIN (PTHR33059:SF2),,metal ion binding(GO:0046872),,cytoplasm(GO:0005737)
Zm00001eb349730,SBP-type domain-containing protein;unassigned;PTN002830749;orthologs,SQUAMOSA PROMOTER-BINDING-LIKE PROTEIN 7 (PTHR31251:SF108),,transcription cis-regulatory region binding(GO:0000976);DNA-binding transcription activator activity(GO:0001216);DNA binding(GO:0003677);zinc ion binding(GO:0008270);metal ion binding(GO:0046872),positive regulation of DNA-templated transcription(GO:0045893),nucleus(GO:0005634)
Zm00001eb402770,RRM domain-containing protein;unassigned;PTN002751386;orthologs,RNA-BINDING (RRM_RBD_RNP MOTIFS) FAMILY PROTEIN (PTHR23139:SF56),,nucleic acid binding(GO:0003676);RNA binding(GO:0003723);poly-pyrimidine tract binding(GO:0008187);pre-mRNA 3'-splice site binding(GO:0030628),spliceosomal complex assembly(GO:0000245);mRNA processing(GO:0006397);RNA splicing(GO:0008380),commitment complex(GO:0000243);nuclear speck(GO:0016607);U2-type prespliceosome(GO:0071004);U2AF complex(GO:0089701)
Zm00001eb067190,HTH myb-type domain-containing protein;103645799;PTN002831540;orthologs,MYB FAMILY TRANSCRIPTION FACTOR PHL5 (PTHR31314:SF7),homeodomain transcription factor(PC00119),DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700),regulation of DNA-templated transcription(GO:0006355),
Zm00001eb104840,F22G5.33;100275416;PTN002853725;orthologs,OS07G0472300 PROTEIN (PTHR33870:SF8),,,,
Zm00001eb161200,Alpha_beta-Hydrolases superfamily protein;ZEAMMB73_Zm00001d044382;PTN002874508;orthologs,ALPHA_BETA-HYDROLASES SUPERFAMILY PROTEIN (PTHR43039:SF7),serine protease(PC00203),hydrolase activity(GO:0016787),,
Zm00001eb206790,Negative regulator of systemic acquired resistance SNI1;unassigned;PTN002864605;orthologs,NEGATIVE REGULATOR OF SYSTEMIC ACQUIRED RESISTANCE SNI1 (PTHR37243:SF2),,,,
Zm00001eb365700,Ribosomal protein L13 family protein;100273323;PTN002610620;orthologs,LARGE RIBOSOMAL SUBUNIT PROTEIN UL13M (PTHR11545:SF2),ribosomal protein(PC00202),mRNA binding(GO:0003729);structural constituent of ribosome(GO:0003735),translation(GO:0006412);negative regulation of translation(GO:0017148),mitochondrial large ribosomal subunit(GO:0005762);ribosome(GO:0005840);ribonucleoprotein complex(GO:1990904)
Zm00001eb282620,Binding;unassigned;;orthologs,,,protein phosphatase regulator activity(GO:0019888),,
Zm00001eb112080,Two-component response regulator-like PRR37;unassigned;PTN009173129;orthologs,TWO-COMPONENT RESPONSE REGULATOR-LIKE PRR37 (PTHR43874:SF64),winged helix/forkhead transcription factor(PC00246),,phosphorelay signal transduction system(GO:0000160);cytokinin-activated signaling pathway(GO:0009736);rhythmic process(GO:0048511),nucleus(GO:0005634)
Zm00001eb254030,DExH-box ATP-dependent RNA helicase DExH15 chloroplastic;103627701;PTN002637374;orthologs,"ATP-DEPENDENT RNA HELICASE SUPV3L1, MITOCHONDRIAL-RELATED (PTHR12131:SF1)",DNA metabolism protein(PC00009),nucleotide binding(GO:0000166);nucleic acid binding(GO:0003676);RNA helicase activity(GO:0003724);helicase activity(GO:0004386);ATP binding(GO:0005524);hydrolase activity(GO:0016787),"nuclear-transcribed mRNA catabolic process, 3'-5' exonucleolytic nonsense-mediated decay(GO:0070478)",Ski complex(GO:0055087)
Zm00001eb036600,Uncharacterized protein;unassigned;;orthologs,,,,,
Zm00001eb187720,Putative HLH DNA-binding domain superfamily protein;103653936;PTN002633179;orthologs,TRANSCRIPTION FACTOR BHLH71 (PTHR11969:SF86),basic helix-loop-helix transcription factor(PC00055),"RNA polymerase II cis-regulatory region sequence-specific DNA binding(GO:0000978);DNA-binding transcription factor activity, RNA polymerase II-specific(GO:0000981);DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700);protein dimerization activity(GO:0046983)",regulation of transcription by RNA polymerase II(GO:0006357);guard cell differentiation(GO:0010052),
Zm00001eb248750,Autophagy-related protein 13 N-terminal domain-containing protein;unassigned;PTN002668125;orthologs,OS02G0644500 PROTEIN (PTHR13430:SF19),,protein kinase regulator activity(GO:0019887),autophagosome assembly(GO:0000045);mitophagy(GO:0000423);autophagy(GO:0006914);protein localization to phagophore assembly site(GO:0034497);piecemeal microautophagy of the nucleus(GO:0034727),phagophore assembly site(GO:0000407);autophagosome(GO:0005776);cytosol(GO:0005829);Atg1/ULK1 kinase complex(GO:1990316)
Zm00001eb073870,Protein CHROMATIN REMODELING 19;103646072;PTN002584720;orthologs,SWI_SNF-RELATED MATRIX-ASSOCIATED ACTIN-DEPENDENT REGULATOR OF CHROMATIN SUBFAMILY A CONTAINING DEAD_H BOX 1 (PTHR10799:SF964),DNA helicase(PC00011),DNA binding(GO:0003677);chromatin binding(GO:0003682);ATP binding(GO:0005524);hydrolase activity(GO:0016787);nucleosome array spacer activity(GO:0140750),DNA double-strand break processing(GO:0000729);DNA damage response(GO:0006974);heterochromatin formation(GO:0031507);positive regulation of transcription by RNA polymerase II(GO:0045944);cellular response to UV-C(GO:0071494),chromatin(GO:0000785);nucleus(GO:0005634)
Zm00001eb065950,RNA polymerase II transcription factor B subunit 2;ZEAMMB73_Zm00001d001809;PTN002662800;orthologs,GENERAL TRANSCRIPTION FACTOR IIH SUBUNIT 4 (PTHR13152:SF0),general transcription factor(PC00259),ATPase activator activity(GO:0001671);double-stranded DNA binding(GO:0003690),DNA repair(GO:0006281);nucleotide-excision repair(GO:0006289);DNA damage response(GO:0006974),transcription factor TFIIH core complex(GO:0000439);nucleus(GO:0005634);transcription factor TFIIH holo complex(GO:0005675)
Zm00001eb227780,Lysophospholipid acyltransferase LPEAT2;100191712;PTN002746861;orthologs,LYSOPHOSPHATIDYLCHOLINE ACYLTRANSFERASE (PTHR23063:SF52),acyltransferase(PC00042),"calcium ion binding(GO:0005509);O-acyltransferase activity(GO:0008374);transferase activity(GO:0016740);acyltransferase activity(GO:0016746);acyltransferase activity, transferring groups other than amino-acyl groups(GO:0016747)",lipid metabolic process(GO:0006629);phospholipid metabolic process(GO:0006644);phospholipid biosynthetic process(GO:0008654),membrane(GO:0016020)
Zm00001eb042230,Transducin_WD40 repeat-like superfamily protein;100274157;PTN002890384;orthologs,OS08G0408200 PROTEIN (PTHR43991:SF30),,,,
Zm00001eb107720,Glycoside hydrolase 123 C-terminal domain-containing protein;100383434;PTN002864503;orthologs,"ALPHA-1,6-MANNOSYL-GLYCOPROTEIN 2-BETA-N-ACETYLGLUCOSAMINYLTRANSFERASE (PTHR37193:SF1)",protein modifying enzyme(PC00260),,,
Zm00001eb318730,Putative transcription factor PosF21;103633042;PTN002671926;orthologs,TRANSCRIPTION FACTOR RF2A (PTHR13690:SF124),DNA-binding transcription factor(PC00218),DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700),regulation of DNA-templated transcription(GO:0006355),nucleus(GO:0005634)
Zm00001eb160070,LIN1 protein;100284012;PTN002684250;orthologs,LARGE RIBOSOMAL SUBUNIT PROTEIN BL34M (PTHR14503:SF4),ribosomal protein(PC00202),structural constituent of ribosome(GO:0003735),translation(GO:0006412),ribosome(GO:0005840);ribonucleoprotein complex(GO:1990904)
Zm00001eb036160,Putative glucan endo-13-beta-glucosidase A6;100382447;PTN002844255;orthologs,"GLUCAN ENDO-1,3-BETA-D-GLUCOSIDASE (PTHR32227:SF294)",glucosidase(PC00108),"hydrolase activity, hydrolyzing O-glycosyl compounds(GO:0004553);hydrolase activity(GO:0016787);hydrolase activity, acting on glycosyl bonds(GO:0016798);glucan endo-1,3-beta-D-glucosidase activity(GO:0042973)",carbohydrate metabolic process(GO:0005975),plasma membrane(GO:0005886);plasmodesma(GO:0009506);side of membrane(GO:0098552)
Zm00001eb160480,Hydroxyproline-rich glycoprotein family protein;ZEAMMB73_Zm00001d044302;PTN002847353;orthologs,HYDROXYPROLINE-RICH GLYCOPROTEIN FAMILY PROTEIN (PTHR33098:SF36),,,,
Zm00001eb214490,Origin recognition complex5;542079;PTN002653069;orthologs,ORIGIN RECOGNITION COMPLEX SUBUNIT 5 (PTHR12705:SF0),replication origin binding protein(PC00199),DNA replication origin binding(GO:0003688),DNA replication(GO:0006260);DNA replication initiation(GO:0006270);response to sucrose(GO:0009744),origin recognition complex(GO:0000808);nucleus(GO:0005634);nuclear origin of replication recognition complex(GO:0005664)
Zm00001eb022340,Knottin scorpion toxin-like domain-containing protein;unassigned;;orthologs,,,,,
Zm00001eb186400,Uncharacterized protein;unassigned;;orthologs,,,,,
Zm00001eb228870,Uncharacterized protein;unassigned;;orthologs,,,,,
Zm00001eb345030,Protein kinase domain-containing protein;unassigned;PTN009107988;orthologs,OS02G0615800 PROTEIN (PTHR27008:SF593),,nucleotide binding(GO:0000166);DNA binding(GO:0003677);protein kinase activity(GO:0004672);ATP binding(GO:0005524),,nucleus(GO:0005634);membrane(GO:0016020)
Zm00001eb142620,Sec14p-like phosphatidylinositol transfer family protein;100283884;PTN002922290;orthologs,OS01G0926800 PROTEIN (PTHR46277:SF28),,,,
Zm00001eb288970,Uncharacterized protein;unassigned;PTN002904586;orthologs,TRANSCRIPTION FACTOR TGAL5 (PTHR45693:SF16),DNA-binding transcription factor(PC00218),,,
Zm00001eb073100,Uncharacterized protein;unassigned;;orthologs,,,,,
Zm00001eb303880,Uncharacterized protein;unassigned;;orthologs,,,,,
Zm00001eb213020,Pentatricopeptide repeat-containing protein chloroplastic;100191499;PTN002770082;orthologs,OS03G0795200 PROTEIN (PTHR47928:SF19),,RNA binding(GO:0003723);zinc ion binding(GO:0008270),RNA modification(GO:0009451);chloroplast RNA processing(GO:0031425),chloroplast(GO:0009507)
Zm00001eb282160,Ubiquitin-like protease family profile domain-containing protein;unassigned;;orthologs,,,peptidase activity(GO:0008233);cysteine-type peptidase activity(GO:0008234);hydrolase activity(GO:0016787),proteolysis(GO:0006508),
Zm00001eb068950,Pectinesterase;unassigned;PTN009126405;orthologs,OS04G0641200 PROTEIN (PTHR31707:SF431),esterase(PC00097),enzyme inhibitor activity(GO:0004857);hydrolase activity(GO:0016787);pectinesterase activity(GO:0030599);pectinesterase inhibitor activity(GO:0046910),cell wall modification(GO:0042545);pectin catabolic process(GO:0045490),
Zm00001eb277760,Inositol polyphosphate multikinase;unassigned;;orthologs,,,nucleotide binding(GO:0000166);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740),inositol phosphate biosynthetic process(GO:0032958),
Zm00001eb065590,Uncharacterized protein;unassigned;;orthologs,,,,,
Zm00001eb405740,Ankyrin repeat family protein;unassigned;;orthologs,,,,,
Zm00001eb200530,Bax inhibitor-1 family protein;107403147;PTN002761012;orthologs,OS11G0581900 PROTEIN (PTHR23291:SF39),ion channel(PC00133),calcium channel activity(GO:0005262),endoplasmic reticulum unfolded protein response(GO:0030968);cellular response to unfolded protein(GO:0034620);calcium ion transmembrane transport(GO:0070588),endoplasmic reticulum(GO:0005783);plasma membrane(GO:0005886);membrane(GO:0016020)
Zm00001eb282080,DCD (Development and Cell Death) domain protein;100304407;PTN002917236;orthologs,INFLUENZA VIRUS NS1A-BINDING PROTEIN (PTHR46034:SF7),,,response to endoplasmic reticulum stress(GO:0034976),
Zm00001eb212340,PIG-P domain-containing protein;unassigned;PTN009211918;orthologs,PHOSPHATIDYLINOSITOL N-ACETYLGLUCOSAMINYLTRANSFERASE SUBUNIT P-RELATED (PTHR47681:SF3),transferase(PC00220),,,
Zm00001eb368950,Protein kinase domain-containing protein;100191484;PTN002820882;orthologs,PROTEIN KINASE DOMAIN-CONTAINING PROTEIN (PTHR48010:SF59),,nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);ATP binding(GO:0005524),,plasma membrane(GO:0005886)
Zm00001eb132940,RING-type E3 ubiquitin transferase;100273809;PTN002569161;orthologs,RING-TYPE E3 UBIQUITIN TRANSFERASE (PTHR10315:SF131),ubiquitin-protein ligase(PC00234),zinc ion binding(GO:0008270);transferase activity(GO:0016740);ligase activity(GO:0016874);metal ion binding(GO:0046872);ubiquitin protein ligase activity(GO:0061630),protein ubiquitination(GO:0016567),cytoplasm(GO:0005737)
Zm00001eb186510,Uncharacterized protein;unassigned;;orthologs,,,catalytic activity(GO:0003824),trehalose metabolic process(GO:0005991);trehalose biosynthetic process(GO:0005992),
Zm00001eb248890,Uncharacterized protein;unassigned;;orthologs,,,,,
Zm00001eb101470,Uncharacterized protein;100277172;PTN009157718;orthologs,OS09G0478400 PROTEIN (PTHR36008:SF1),,,,
Zm00001eb165230,Fibronectin type III-like domain-containing protein;100279508;PTN009164581;orthologs,BETA-D-XYLOSIDASE 2-RELATED (PTHR42721:SF45),glucosidase(PC00108),,,
Zm00001eb294210,beta-galactosidase;unassigned;;orthologs,,,"hydrolase activity, hydrolyzing O-glycosyl compounds(GO:0004553);beta-galactosidase activity(GO:0004565);hydrolase activity(GO:0016787);hydrolase activity, acting on glycosyl bonds(GO:0016798)",carbohydrate metabolic process(GO:0005975),apoplast(GO:0048046)
Zm00001eb149470,Peptidase C1A papain C-terminal domain-containing protein;unassigned;;orthologs,,,cysteine-type peptidase activity(GO:0008234),proteolysis(GO:0006508),
Zm00001eb001040,WD repeat-containing protein 44;unassigned;PTN009017641;orthologs,WD REPEAT-CONTAINING PROTEIN 44 (PTHR14221:SF0),,,,
Zm00001eb129460,Uncharacterized protein;unassigned;;orthologs,,,,,
Zm00001eb220070,Uncharacterized protein;unassigned;;orthologs,,,,,
Zm00001eb406460,Phytosulfokine;100281314;PTN002849542;orthologs,PHYTOSULFOKINES 5 (PTHR33285:SF32),,growth factor activity(GO:0008083),signal transduction(GO:0007165);cell population proliferation(GO:0008283);cell differentiation(GO:0030154),extracellular region(GO:0005576)
Zm00001eb012150,Pentatricopeptide repeat protein PPR868-14;100280408;PTN002769883;orthologs,OS03G0271300 PROTEIN (PTHR47924:SF182),,RNA binding(GO:0003723),RNA modification(GO:0009451),
Zm00001eb219050,RRM domain-containing protein;unassigned;;orthologs,,,nucleic acid binding(GO:0003676);RNA binding(GO:0003723),,
Zm00001eb234560,Cytochrome P450 CYP71K14;100383167;PTN002801604;orthologs,CYTOCHROME P450 CYP71K14 (PTHR47956:SF48),oxygenase(PC00177),"monooxygenase activity(GO:0004497);iron ion binding(GO:0005506);terpene synthase activity(GO:0010333);oxidoreductase activity(GO:0016491);oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen(GO:0016705);oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen(GO:0016709);heme binding(GO:0020037);metal ion binding(GO:0046872)",defense response(GO:0006952);diterpene phytoalexin biosynthetic process(GO:0051502),membrane(GO:0016020)
Zm00001eb301220,Uncharacterized protein;unassigned;;orthologs,,,,,
Zm00001eb391740,Phosphatidylinositol N-acetyglucosaminlytransferase subunit P-related;100383691;PTN002936319;orthologs,EXPRESSED PROTEIN (PTHR47857:SF3),,transferase activity(GO:0016740),,
Zm00001eb424350,Vacuolar iron transporter 1;ZEAMMB73_Zm00001d025623;PTN002839934;orthologs,VACUOLAR IRON TRANSPORTER 1 (PTHR31851:SF80),transporter(PC00227),iron ion transmembrane transporter activity(GO:0005381);manganese ion transmembrane transporter activity(GO:0005384);metal ion binding(GO:0046872);iron ion sequestering activity(GO:0140315),monoatomic ion transport(GO:0006811);iron ion transport(GO:0006826);intracellular iron ion homeostasis(GO:0006879);intracellular manganese ion homeostasis(GO:0030026);iron ion transmembrane transport(GO:0034755);manganese ion transmembrane transport(GO:0071421),vacuolar membrane(GO:0005774)
Zm00001eb075190,ELMO_CED-12 family protein;100280027;PTN009001342;orthologs,OS04G0545100 PROTEIN (PTHR12771:SF24),scaffold/adaptor protein(PC00226),guanyl-nucleotide exchange factor activity(GO:0005085),,
Zm00001eb254880,Uncharacterized protein;unassigned;;orthologs,,,,,
Zm00001eb329020,Uncharacterized protein;unassigned;;orthologs,,,,,
