#node	identifier	domain_summary_url	annotation	other_names_and_aliases
A0A1D6MR10	4577.A0A1D6MR10	Cyclin-like F-box.	https://smart.embl.de/smart/DDvec.cgi?smart=405:SIGNAL(1|22)+TRANS(36|58)+FBOX(98|138)+	100285258,A0A1D6MR10,A0A1D6MR10_MAIZE,Cyclin-like F-box,NP_001151624,ZEAMMB73_Zm00001d040477,zma:100285258
A0A1D6MR13	4577.A0A1D6MR13	Type III polyketide synthase B; Belongs to the thiolase-like superfamily. Chalcone/stilbene synthases family.	https://smart.embl.de/smart/DDvec.cgi?smart=398:Pfam_Chal_sti_synt_N(18|242)+Pfam_ACP_syn_III_C(306|391)+	103650032,A0A1D6MR13,A0A1D6MR13_MAIZE,Bisdemethoxycurcumin synthase,Type III polyketide synthase B,XM_008675702.1,XP_008673924,XP_008673924.1,ZEAMMB73_Zm00001d040479,zma:103650032
A0A1D6MR14	4577.A0A1D6MR14	Ergosterol biosynthetic protein 28.	https://smart.embl.de/smart/DDvec.cgi?smart=146:Pfam_Erg28(13|120)+	103651911,A0A1D6MR14,A0A1D6MR14_MAIZE,Ergosterol biosynthetic protein 28,XP_008675806,ZEAMMB73_Zm00001d040481,zma:103651911
A0A1D6MR15	4577.A0A1D6MR15	Type III polyketide synthase B; Belongs to the thiolase-like superfamily. Chalcone/stilbene synthases family.	https://smart.embl.de/smart/DDvec.cgi?smart=297:Pfam_Chal_sti_synt_N(1|141)+Pfam_ACP_syn_III_C(205|290)+	A0A1D6MR15,A0A1D6MR15_MAIZE,Type III polyketide synthase B,ZEAMMB73_Zm00001d040483
A0A1D6MR22	4577.A0A1D6MR22	Ergosterol biosynthetic protein 28.	https://smart.embl.de/smart/DDvec.cgi?smart=181:Pfam_Erg28(45|152)+	103651914,A0A1D6MR22,A0A1D6MR22_MAIZE,Ergosterol biosynthetic protein 28,XP_020406280,ZEAMMB73_Zm00001d040493,zma:103651914
A0A1D6MR23	4577.A0A1D6MR23	Sulfite oxidase.	https://smart.embl.de/smart/DDvec.cgi?smart=120:Pfam_Mo-co_dimer(3|112)+	1.8.3.1,103642918,A0A1D6MR23,A0A1D6MR23_MAIZE,EC 1.8.3.1,NP_001340267,Sulfite oxidase,ZEAMMB73_Zm00001d040496,zma:103642918
A0A1D6MR24	4577.A0A1D6MR24	Type III polyketide synthase B; Belongs to the thiolase-like superfamily. Chalcone/stilbene synthases family.	https://smart.embl.de/smart/DDvec.cgi?smart=396:Pfam_Chal_sti_synt_N(16|240)+Pfam_ACP_syn_III_C(304|389)+	103650038,A0A1D6MR24,A0A1D6MR24_MAIZE,Bisdemethoxycurcumin synthase,Type III polyketide synthase B,XM_008675707.1,XP_008673929,XP_008673929.1,ZEAMMB73_Zm00001d040497,zma:103650038
A0A1D6MR32	4577.A0A1D6MR32	G-box-binding factor 3.	https://smart.embl.de/smart/DDvec.cgi?smart=194:BRLZ(76|140)+	A0A1D6MR32,A0A1D6MR32_MAIZE,G-box-binding factor 3,ZEAMMB73_Zm00001d040500
A0A1D6MR33	4577.A0A1D6MR33	Ergosterol biosynthetic protein 28.	https://smart.embl.de/smart/DDvec.cgi?smart=147:Pfam_Erg28(14|121)+	103650041,A0A1D6MR33,A0A1D6MR33_MAIZE,Ergosterol biosynthetic protein 28,XM_008675709.1,XP_008673931,XP_008673931.1,ZEAMMB73_Zm00001d040501,zma:103650041
A0A1D6MR34	4577.A0A1D6MR34	Early nodulin-like protein 7.	https://smart.embl.de/smart/DDvec.cgi?smart=191:SIGNAL(1|29)+Pfam_Cu_bind_like(47|129)+TRANS(168|190)+	103650042,A0A1D6MR34,A0A1D6MR34_MAIZE,Early nodulin-like protein 7,Mavicyanin,XM_008675710.1,XP_008673932,XP_008673932.1,ZEAMMB73_Zm00001d040502,zma:103650042
A0A1D6MR41	4577.A0A1D6MR41	Retrovirus-related Pol polyprotein LINE-1.	https://smart.embl.de/smart/DDvec.cgi?smart=1725:Pfam_Adaptin_N(13|487)+Pfam_Coatamer_beta_C(671|810)+Pfam_Coatomer_b_Cpla(815|868)+Pfam_RVT_1(1474|1567)+Pfam_Coatomer_b_Cpla(1617|1717)+	100384840,A0A1D6MR41,A0A1D6MR41_MAIZE,Retrovirus-related Pol polyprotein LINE-1,ZEAMMB73_Zm00001d040503
A0A1D6MR47	4577.A0A1D6MR47	Early nodulin-like protein 18.	https://smart.embl.de/smart/DDvec.cgi?smart=230:SIGNAL(1|29)+Pfam_Cu_bind_like(41|142)+	103650044,A0A1D6MR47,A0A1D6MR47_MAIZE,Blue copper protein,Early nodulin-like protein 18,XM_008675711.1,XP_008673933,XP_008673933.1,ZEAMMB73_Zm00001d040504,zma:103650044
A0A1D6MR48	4577.A0A1D6MR48	Putative peptide/nitrate transporter.	https://smart.embl.de/smart/DDvec.cgi?smart=503:Pfam_MFS_1(96|339)+	103650045,A0A1D6MR48,A0A1D6MR48_MAIZE,Protein ZINC INDUCED FACILITATOR-LIKE 1,Putative peptide/nitrate transporter,XP_008673934,ZEAMMB73_Zm00001d040505,zma:103650045
A0A1D6MR49	4577.A0A1D6MR49	Putative mediator of RNA polymerase II transcription subunit 26b.	http://smart.embl.de/smart/DDvec.cgi?smart=232:	103650046,A0A1D6MR49,A0A1D6MR49_MAIZE,XP_020406359,ZEAMMB73_Zm00001d040506,zma:103650046
A0A1D6MR52	4577.A0A1D6MR52	Tubulin beta chain; Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain. Belongs to the tubulin family.	https://smart.embl.de/smart/DDvec.cgi?smart=222:Tubulin(47|221)+	A0A1D6MR52,A0A1D6MR52_MAIZE,Tubulin beta chain,ZEAMMB73_Zm00001d040509
A0A1D6MR53	4577.A0A1D6MR53	Uncharacterized protein.	https://smart.embl.de/smart/DDvec.cgi?smart=613:TRANS(9|28)+	103650047,A0A1D6MR53,A0A1D6MR53_MAIZE,Uncharacterized protein,Uncharacterized protein LOC103650047,XM_008675716.1,XP_008673938,XP_008673938.1,ZEAMMB73_Zm00001d040513,zma:103650047
A0A1D6MR58	4577.A0A1D6MR58	Uncharacterized protein.	https://smart.embl.de/smart/DDvec.cgi?smart=80:Pfam_Raffinose_syn(1|65)+	A0A1D6MR58,A0A1D6MR58_MAIZE,Uncharacterized protein,ZEAMMB73_Zm00001d040516
A0A1D6MR59	4577.A0A1D6MR59	Vegetative cell wall protein gp1.	https://smart.embl.de/smart/DDvec.cgi?smart=226:SIGNAL(1|30)+	103650048,A0A1D6MR59,A0A1D6MR59_MAIZE,Vegetative cell wall protein gp1,XM_008675717.1,XP_008673939,XP_008673939.1,ZEAMMB73_Zm00001d040517,zma:103650048
A0A1D6MR60	4577.A0A1D6MR60	Uncharacterized protein.	http://smart.embl.de/smart/DDvec.cgi?smart=126:	100276698,A0A1D6MR60,A0A1D6MR60_MAIZE,NP_001143897,Uncharacterized protein,Uncharacterized protein LOC100276698,ZEAMMB73_Zm00001d040518,zma:100276698
A0A1D6MR70	4577.A0A1D6MR70	Os05g0140333-like protein.	http://smart.embl.de/smart/DDvec.cgi?smart=287:	100274211,A0A1D6MR70,A0A1D6MR70_MAIZE,NP_001142055,Os05g0140333-like protein,Uncharacterized LOC100274211,ZEAMMB73_Zm00001d040526,zma:100274211
A0A1D6MR87	4577.A0A1D6MR87	Transcription factor PIF4.	http://smart.embl.de/smart/DDvec.cgi?smart=545:	100382453,A0A1D6MR87,A0A1D6MR87_MAIZE,NP_001168665,Phytochrome-interacting factor 3,Transcription factor PIF4,ZEAMMB73_Zm00001d040536,zma:100382453
A0A1D6MR94	4577.A0A1D6MR94	Protoporphyrinogen oxidase 1 chloroplastic.	https://smart.embl.de/smart/DDvec.cgi?smart=159:Pfam_Amino_oxidase(70|153)+	A0A1D6MR94,A0A1D6MR94_MAIZE,Protoporphyrinogen oxidase 1 chloroplastic,ZEAMMB73_Zm00001d040539
A0A1D6MR96	4577.A0A1D6MR96	Auxin-responsive protein; Aux/IAA proteins are short-lived transcriptional factors that function as repressors of early auxin response genes at low auxin concentrations.	https://smart.embl.de/smart/DDvec.cgi?smart=181:Pfam_AUX_IAA(6|181)+	103650054,A0A1D6MR96,A0A1D6MR96_MAIZE,Auxin-responsive protein,Auxin-responsive protein IAA,Auxin-responsive protein IAA4,XP_008673943,ZEAMMB73_Zm00001d040541,zma:103650054
A0A1D6MR97	4577.A0A1D6MR97	Pentatricopeptide repeat-containing protein.	https://smart.embl.de/smart/DDvec.cgi?smart=564:Pfam_PPR(149|178)+Pfam_PPR(180|209)+Pfam_PPR_2(281|330)+Pfam_PPR(355|378)+Pfam_PPR_2(383|432)+Pfam_PPR(457|483)+	103650055,A0A1D6MR97,A0A1D6MR97_MAIZE,Pentatricopeptide repeat-containing protein,XM_008675722.1,XP_008673944,XP_008673944.1,ZEAMMB73_Zm00001d040542,zma:103650055
A0A1D6MRA3	4577.A0A1D6MRA3	Lysine-ketoglutarate reductase/saccharopine dehydrogenase bifunctional enzyme.	https://smart.embl.de/smart/DDvec.cgi?smart=170:Pfam_Sacchrp_dh_C(6|157)+	A0A1D6MRA3,A0A1D6MRA3_MAIZE,ZEAMMB73_Zm00001d040546
A0A1D6MRA4	4577.A0A1D6MRA4	Uncharacterized protein.	http://smart.embl.de/smart/DDvec.cgi?smart=88:	A0A1D6MRA4,A0A1D6MRA4_MAIZE,Uncharacterized protein,ZEAMMB73_Zm00001d040548
A0A1D6MRA5	4577.A0A1D6MRA5	Uncharacterized protein.	http://smart.embl.de/smart/DDvec.cgi?smart=59:	A0A1D6MRA5,A0A1D6MRA5_MAIZE,Uncharacterized protein,ZEAMMB73_Zm00001d040549
A0A1D6MRA7	4577.A0A1D6MRA7	Putative WRKY transcription factor 47.	https://smart.embl.de/smart/DDvec.cgi?smart=581:WRKY(292|352)+	103650062,A0A1D6MRA7,A0A1D6MRA7_MAIZE,Probable WRKY transcription factor 47 isoform X1,Putative WRKY transcription factor 47,XM_008675729.1,XP_008673951,XP_008673951.1,ZEAMMB73_Zm00001d040554,zma:103650062
A0A1D6MRA8	4577.A0A1D6MRA8	Zea CEFD homolog1.	https://smart.embl.de/smart/DDvec.cgi?smart=480:Pfam_Aminotran_5(65|445)+	100284775,4.4.1.28,A0A1D6MRA8,A0A1D6MRA8_MAIZE,EC 4.4.1.28,L-cysteine desulfhydrase,NP_001151142,Uncharacterized protein LOC100284775,ZEAMMB73_Zm00001d040555,Zea CEFD homolog1,zma:100284775
A0A1D6MRB0	4577.A0A1D6MRB0	Uncharacterized protein.	http://smart.embl.de/smart/DDvec.cgi?smart=358:	103650064,A0A1D6MRB0,A0A1D6MRB0_MAIZE,Uncharacterized protein,Uncharacterized protein LOC103650064,XP_008673953,ZEAMMB73_Zm00001d040560,zma:103650064
A0A1D6MRC0	4577.A0A1D6MRC0	ABC transporter B family member 21.	https://smart.embl.de/smart/DDvec.cgi?smart=1335:Pfam_ABC_membrane(118|398)+AAA(474|660)+Pfam_ABC_membrane(769|1042)+AAA(1118|1311)+	103650065,7.6.2.2,A0A1D6MRC0,A0A1D6MRC0_MAIZE,ABC transporter B family member 21,EC 7.6.2.2,XP_008673955,ZEAMMB73_Zm00001d040562,zma:103650065
A0A1D6MRF2	4577.A0A1D6MRF2	Uncharacterized protein.	http://smart.embl.de/smart/DDvec.cgi?smart=346:	100216578,A0A1D6MRF2,A0A1D6MRF2_MAIZE,NP_001136467,Uncharacterized protein,Uncharacterized protein LOC100216578,ZEAMMB73_Zm00001d040568,zma:100216578
A0A1D6MRF4	4577.A0A1D6MRF4	Programmed cell death protein 2.	https://smart.embl.de/smart/DDvec.cgi?smart=359:Pfam_CNOT1_CAF1_bind(1|195)+Pfam_zf-MYND(203|241)+Pfam_PDCD2_C(267|353)+	109944947,A0A1D6MRF4,A0A1D6MRF4_MAIZE,Programmed cell death protein 2,XP_020406283,ZEAMMB73_Zm00001d040569,zma:109944947
A0A1D6MRF5	4577.A0A1D6MRF5	Uncharacterized protein.	http://smart.embl.de/smart/DDvec.cgi?smart=214:	A0A1D6MRF5,A0A1D6MRF5_MAIZE,Uncharacterized protein,ZEAMMB73_Zm00001d040570
A0A1D6MRH1	4577.A0A1D6MRH1	Squamosa promoter-binding-like protein 8.	https://smart.embl.de/smart/DDvec.cgi?smart=892:Pfam_SBP(127|201)+TRANS(851|870)+	103650076,A0A1D6MRH1,A0A1D6MRH1_MAIZE,Squamosa promoter-binding-like protein 1,Squamosa promoter-binding-like protein 8,XP_020405796,ZEAMMB73_Zm00001d040571,zma:103650076
A0A1D6MRI4	4577.A0A1D6MRI4	Peroxidase; Removal of H(2)O(2), oxidation of toxic reductants, biosynthesis and degradation of lignin, suberization, auxin catabolism, response to environmental stresses such as wounding, pathogen attack and oxidative stress.	https://smart.embl.de/smart/DDvec.cgi?smart=333:SIGNAL(1|28)+Pfam_peroxidase(51|297)+	1.11.1.7,103650080,A0A1D6MRI4,A0A1D6MRI4_MAIZE,EC 1.11.1.7,Peroxidase,Peroxidase 5,XM_008675742.1,XP_008673964,XP_008673964.1,ZEAMMB73_Zm00001d040578,zma:103650080
A0A1D6MRI5	4577.A0A1D6MRI5	Peroxidase; Removal of H(2)O(2), oxidation of toxic reductants, biosynthesis and degradation of lignin, suberization, auxin catabolism, response to environmental stresses such as wounding, pathogen attack and oxidative stress.	https://smart.embl.de/smart/DDvec.cgi?smart=322:SIGNAL(1|17)+Pfam_peroxidase(135|291)+	1.11.1.7,103651934,A0A1D6MRI5,A0A1D6MRI5_MAIZE,EC 1.11.1.7,Peroxidase,Peroxidase 5,XP_020406362,ZEAMMB73_Zm00001d040579,zma:103651934
A0A1D6MRJ0	4577.A0A1D6MRJ0	O-sialoglycoprotein endopeptidase.	https://smart.embl.de/smart/DDvec.cgi?smart=350:Pfam_Peptidase_M22(82|284)+	A0A1D6MRJ0,A0A1D6MRJ0_MAIZE,O-sialoglycoprotein endopeptidase,ZEAMMB73_Zm00001d040583
A0A1D6MRK0	4577.A0A1D6MRK0	Betaine aldehyde dehydrogenase 2 mitochondrial; Belongs to the aldehyde dehydrogenase family.	https://smart.embl.de/smart/DDvec.cgi?smart=176:Pfam_Aldedh(1|141)+	103651935,A0A1D6MRK0,A0A1D6MRK0_MAIZE,Betaine aldehyde dehydrogenase 2,Betaine aldehyde dehydrogenase 2 mitochondrial,XP_008675822,ZEAMMB73_Zm00001d040585,zma:103651935
A0A1D6MRK6	4577.A0A1D6MRK6	Polygalacturonase.	https://smart.embl.de/smart/DDvec.cgi?smart=499:SIGNAL(1|28)+PbH1(241|290)+PbH1(291|312)+PbH1(314|335)+PbH1(345|366)+PbH1(374|395)+	100284066,A0A1D6MRK6,A0A1D6MRK6_MAIZE,NP_001150436,Polygalacturonase,Polygalacturonase precursor,ZEAMMB73_Zm00001d040589,zma:100284066
A0A1D6MRK7	4577.A0A1D6MRK7	Apyrase 1; Belongs to the GDA1/CD39 NTPase family.	https://smart.embl.de/smart/DDvec.cgi?smart=156:Pfam_GDA1_CD39(36|127)+	A0A1D6MRK7,A0A1D6MRK7_MAIZE,Apyrase 1,ZEAMMB73_Zm00001d040590
A0A1D6MRL4	4577.A0A1D6MRL4	Quinolinate synthase chloroplastic.	https://smart.embl.de/smart/DDvec.cgi?smart=533:Pfam_NadA(61|394)+	103650090,2.5.1.72,A0A1D6MRL4,A0A1D6MRL4_MAIZE,EC 2.5.1.72,Quinolinate synthase,Quinolinate synthase chloroplastic,Quinolinate synthase, chloroplastic,XP_008673973,ZEAMMB73_Zm00001d040599,zma:103650090
A0A1D6MRL5	4577.A0A1D6MRL5	Protein TAPETUM DETERMINANT 1.	https://smart.embl.de/smart/DDvec.cgi?smart=174:SIGNAL(1|29)+	A0A1D6MRL5,A0A1D6MRL5_MAIZE,Protein TAPETUM DETERMINANT 1,ZEAMMB73_Zm00001d040600
A0A1D6MRN4	4577.A0A1D6MRN4	Beta expansin10d; Belongs to the expansin family.	https://smart.embl.de/smart/DDvec.cgi?smart=268:SIGNAL(1|30)+DPBB_1(86|165)+Pfam_Pollen_allerg_1(176|257)+	103650094,A0A1D6MRN4,A0A1D6MRN4_MAIZE,Beta expansin10d,Expansin-B11-like,XP_020406288,ZEAMMB73_Zm00001d040608,zma:103650094
A0A1D6MRP3	4577.A0A1D6MRP3	FAM91A1-like protein.	https://smart.embl.de/smart/DDvec.cgi?smart=995:Pfam_FAM91_N(13|336)+Pfam_FAM91_C(378|473)+Pfam_FAM91_C(777|873)+	A0A1D6MRP3,A0A1D6MRP3_MAIZE,FAM91A1-like protein,ZEAMMB73_Zm00001d040612
A0A1D6MRS2	4577.A0A1D6MRS2	PIT1.	https://smart.embl.de/smart/DDvec.cgi?smart=229:RINGv(13|62)+Pfam_DUF3675(67|187)+	100283719,A0A1D6MRS2,A0A1D6MRS2_MAIZE,NP_001150090,PIT1,ZEAMMB73_Zm00001d040614,zma:100283719
A0A1D6MRT0	4577.A0A1D6MRT0	Eukaryotic aspartyl protease family protein; Belongs to the peptidase A1 family.	https://smart.embl.de/smart/DDvec.cgi?smart=437:SIGNAL(1|19)+Pfam_TAXi_N(83|250)+Pfam_TAXi_C(277|431)+	103650102,A0A1D6MRT0,A0A1D6MRT0_MAIZE,Aspartic proteinase nepenthesin-1,Eukaryotic aspartyl protease family protein,XP_008673981,ZEAMMB73_Zm00001d040620,zma:103650102
A0A1D6MRT3	4577.A0A1D6MRT3	Uncharacterized protein.	https://smart.embl.de/smart/DDvec.cgi?smart=311:Pfam_eIF-4B(40|143)+	103650103,A0A1D6MRT3,A0A1D6MRT3_MAIZE,Uncharacterized protein,Uncharacterized protein LOC103650103 isoform X1,XM_008675760.1,XP_008673982,XP_008673982.1,ZEAMMB73_Zm00001d040622,zma:103650103
A0A1D6MRT4	4577.A0A1D6MRT4	DUF3511 domain protein.	https://smart.embl.de/smart/DDvec.cgi?smart=154:Pfam_DUF3511(110|153)+	A0A1D6MRT4,A0A1D6MRT4_MAIZE,DUF3511 domain protein,ZEAMMB73_Zm00001d040623
A0A1D6MRT5	4577.A0A1D6MRT5	RESPONSE TO ABA AND SALT 1.	https://smart.embl.de/smart/DDvec.cgi?smart=224:Pfam_DOG1(21|98)+	103650104,A0A1D6MRT5,A0A1D6MRT5_MAIZE,Protein DOG1-like 4,RESPONSE TO ABA AND SALT 1,XM_008675763.1,XP_008673985,XP_008673985.1,ZEAMMB73_Zm00001d040624,zma:103650104
A0A1D6MRT7	4577.A0A1D6MRT7	Uncharacterized protein.	https://smart.embl.de/smart/DDvec.cgi?smart=371:Pfam_DUF789(61|368)+	100382620,A0A1D6MRT7,A0A1D6MRT7_MAIZE,Uncharacterized protein,Uncharacterized protein LOC100382620 isoform X1,XP_020405448,ZEAMMB73_Zm00001d040625,zma:100382620
A0A1D6MRU0	4577.A0A1D6MRU0	Sodium transporter HKT1.	https://smart.embl.de/smart/DDvec.cgi?smart=535:TRANS(25|47)+TRANS(59|78)+TRANS(88|110)+Pfam_TrkH(151|287)+Pfam_TrkH(306|529)+	100382359,A0A1D6MRU0,A0A1D6MRU0_MAIZE,Sodium transporter HKT1,XM_008674901.1,XP_008673123.1,ZEAMMB73_Zm00001d040627
A0A1D6MRU7	4577.A0A1D6MRU7	Uncharacterized protein.	http://smart.embl.de/smart/DDvec.cgi?smart=285:	103651946,A0A1D6MRU7,A0A1D6MRU7_MAIZE,Transcription factor NIGT1,Uncharacterized protein,XP_008675832,ZEAMMB73_Zm00001d040630,zma:103651946
A0A1D6MRV3	4577.A0A1D6MRV3	Binding protein.	http://smart.embl.de/smart/DDvec.cgi?smart=175:	100274802,A0A1D6MRV3,A0A1D6MRV3_MAIZE,Binding protein,Uncharacterized protein LOC100274802,XP_020406296,ZEAMMB73_Zm00001d040634,zma:100274802
A0A1D6MRW0	4577.A0A1D6MRW0	Dual specificity protein phosphatase PHS1.	https://smart.embl.de/smart/DDvec.cgi?smart=1024:Pfam_Act-Frag_cataly(216|474)+DSPc(794|936)+	100272608,A0A1D6MRW0,A0A1D6MRW0_MAIZE,Dual specificity protein phosphatase PHS1,ZEAMMB73_Zm00001d040641
A0A1D6MRY8	4577.A0A1D6MRY8	RING/U-box superfamily protein.	https://smart.embl.de/smart/DDvec.cgi?smart=493:RING(253|293)+	100274494,2.3.2.27,A0A1D6MRY8,A0A1D6MRY8_MAIZE,E3 ubiquitin-protein ligase RNF5,EC 2.3.2.27,NP_001142324,RING/U-box superfamily protein,Uncharacterized LOC100274494,ZEAMMB73_Zm00001d040644,zma:100274494
A0A1D6MRY9	4577.A0A1D6MRY9	Pectinesterase; Acts in the modification of cell walls via demethylesterification of cell wall pectin.	https://smart.embl.de/smart/DDvec.cgi?smart=551:SIGNAL(1|26)+PMEI(30|184)+Pfam_Pectinesterase(234|535)+	103650113,3.1.1.11,A0A1D6MRY9,A0A1D6MRY9_MAIZE,EC 3.1.1.11,Pectinesterase,XM_008675770.1,XP_008673992,XP_008673992.1,ZEAMMB73_Zm00001d040649,zma:103650113
A0A1D6MRZ1	4577.A0A1D6MRZ1	Ethylene-responsive transcription factor RAP2-2.	https://smart.embl.de/smart/DDvec.cgi?smart=237:AP2(67|130)+	100193143,A0A1D6MRZ1,A0A1D6MRZ1_MAIZE,Ethylene-responsive transcription factor RAP2-2,NP_001131773,XM_008673891.1,XP_008672113.1,ZEAMMB73_Zm00001d040651,zma:100193143
A0A1D6MRZ3	4577.A0A1D6MRZ3	Protein trichome birefringence-like 39.	https://smart.embl.de/smart/DDvec.cgi?smart=370:SIGNAL(1|21)+Pfam_PMR5N(41|94)+Pfam_PC-Esterase(96|364)+	103650115,A0A1D6MRZ3,A0A1D6MRZ3_MAIZE,Protein trichome birefringence-like 38,Protein trichome birefringence-like 39,XM_008675771.1,XP_008673993,XP_008673993.1,ZEAMMB73_Zm00001d040652,zma:103650115
A0A1D6MRZ5	4577.A0A1D6MRZ5	Sugars will eventually be exported transporter17a; Belongs to the SWEET sugar transporter family.	https://smart.embl.de/smart/DDvec.cgi?smart=227:Pfam_MtN3_slv(6|93)+TRANS(102|124)+Pfam_MtN3_slv(128|204)+	103650117,A0A1D6MRZ5,A0A1D6MRZ5_MAIZE,Bidirectional sugar transporter SWEET17,Solute carrier family 50 (sugar transporter),XP_008673994,ZEAMMB73_Zm00001d040656,zma:103650117
A0A1D6MRZ7	4577.A0A1D6MRZ7	NAC domain-containing protein.	https://smart.embl.de/smart/DDvec.cgi?smart=175:Pfam_NAM(42|174)+	A0A1D6MRZ7,A0A1D6MRZ7_MAIZE,NAC domain-containing protein,ZEAMMB73_Zm00001d040657
A0A1D6MRZ8	4577.A0A1D6MRZ8	Late embryogenesis abundant protein Lea5.	https://smart.embl.de/smart/DDvec.cgi?smart=91:Pfam_LEA_3(1|85)+	103650118,A0A1D6MRZ8,A0A1D6MRZ8_MAIZE,Late embryogenesis abundant protein Lea5,Late embryogenesis abundant protein Lea5-D-like,NM_001319215.1,NP_001306144,NP_001306144.1,ZEAMMB73_Zm00001d040659,zma:103650118
A0A1D6MRZ9	4577.A0A1D6MRZ9	Late embryogenesis abundant protein.	https://smart.embl.de/smart/DDvec.cgi?smart=102:Pfam_LEA_3(2|96)+	A0A1D6MRZ9,A0A1D6MRZ9_MAIZE,Late embryogenesis abundant protein,ZEAMMB73_Zm00001d040660
A0A1D6MS17	4577.A0A1D6MS17	UDP-glucuronic acid decarboxylase 4.	https://smart.embl.de/smart/DDvec.cgi?smart=451:Pfam_Epimerase(110|211)+Pfam_GDP_Man_Dehyd(214|428)+	A0A1D6MS17,A0A1D6MS17_MAIZE,UDP-glucuronic acid decarboxylase 4,ZEAMMB73_Zm00001d040667
A0A1D6MS43	4577.A0A1D6MS43	Serine/arginine-rich-splicing factor SR34.	https://smart.embl.de/smart/DDvec.cgi?smart=293:RRM(8|78)+RRM(111|180)+	A0A1D6MS43,A0A1D6MS43_MAIZE,Serine/arginine-rich-splicing factor SR34,ZEAMMB73_Zm00001d040672
A0A1D6MS50	4577.A0A1D6MS50	Uncharacterized protein.	http://smart.embl.de/smart/DDvec.cgi?smart=688:	103650122,A0A1D6MS50,A0A1D6MS50_MAIZE,Uncharacterized protein,ZEAMMB73_Zm00001d040678
A0A1D6MS63	4577.A0A1D6MS63	Receptor-like cytosolic serine/threonine-protein kinase RBK1.	https://smart.embl.de/smart/DDvec.cgi?smart=357:Pfam_Pkinase(119|210)+Pfam_Remorin_C(246|349)+	103653295,A0A1D6MS63,A0A1D6MS63_MAIZE,NP_001288505,Uncharacterized protein LOC103653295,ZEAMMB73_Zm00001d040679,zma:103653295
A0A1D6MS65	4577.A0A1D6MS65	Alpha/beta-Hydrolases superfamily protein.	https://smart.embl.de/smart/DDvec.cgi?smart=328:Pfam_Abhydrolase_1(58|203)+	100502438,A0A1D6MS65,A0A1D6MS65_MAIZE,Alpha/beta-Hydrolases superfamily protein,NM_001196916.2,NP_001183845,NP_001183845.2,Uncharacterized protein LOC100502438,ZEAMMB73_Zm00001d040681,zma:100502438
A0A1D6MS66	4577.A0A1D6MS66	Sequence-specific DNA binding transcription factor.	https://smart.embl.de/smart/DDvec.cgi?smart=528:Pfam_Myb_DNA-bind_4(117|253)+	103650125,A0A1D6MS66,A0A1D6MS66_MAIZE,Uncharacterized protein LOC103650125,XP_008673999,ZEAMMB73_Zm00001d040682,zma:103650125
A0A1D6MS67	4577.A0A1D6MS67	Pectin acetylesterase; Hydrolyzes acetyl esters in homogalacturonan regions of pectin. In type I primary cell wall, galacturonic acid residues of pectin can be acetylated at the O-2 and O-3 positions. Decreasing the degree of acetylation of pectin gels in vitro alters their physical properties; Belongs to the pectinacetylesterase family.	https://smart.embl.de/smart/DDvec.cgi?smart=421:SIGNAL(1|27)+Pfam_PAE(49|404)+	100285650,3.1.1.-,3.1.1.98,A0A1D6MS67,A0A1D6MS67_MAIZE,Carboxylic ester hydrolase precursor,EC 3.1.1.98,NP_001152013,O-palmitoleoyl-L-serine hydrolase,Pectin acetylesterase,ZEAMMB73_Zm00001d040684,zma:100285650
A0A1D6MS71	4577.A0A1D6MS71	T-complex protein 1 subunit beta.	https://smart.embl.de/smart/DDvec.cgi?smart=281:Pfam_Cpn60_TCP1(1|260)+	A0A1D6MS71,A0A1D6MS71_MAIZE,T-complex protein 1 subunit beta,ZEAMMB73_Zm00001d040688
A0A1D6MS72	4577.A0A1D6MS72	Suppressor of mec-8 and unc-52 protein homolog 1.	https://smart.embl.de/smart/DDvec.cgi?smart=558:LisH(11|43)+CTLH(45|97)+WD40(206|246)+WD40(257|296)+WD40(299|339)+WD40(383|422)+WD40(425|471)+WD40(473|515)+WD40(518|557)+	A0A1D6MS72,A0A1D6MS72_MAIZE,Suppressor of mec-8 and unc-52 protein homolog 1,ZEAMMB73_Zm00001d040689
A0A1D6MSB8	4577.A0A1D6MSB8	Uncharacterized protein.	https://smart.embl.de/smart/DDvec.cgi?smart=441:Pfam_DUF668(273|363)+	A0A1D6MSB8,A0A1D6MSB8_MAIZE,Uncharacterized protein,ZEAMMB73_Zm00001d040700
A0A1D6MSD1	4577.A0A1D6MSD1	Protein GFS12.	https://smart.embl.de/smart/DDvec.cgi?smart=1504:Pfam_Pkinase(221|329)+Beach(368|600)+WD40(1268|1311)+WD40(1314|1351)+	103650138,A0A1D6MSD1,A0A1D6MSD1_MAIZE,Protein GFS12,Protein GFS12 isoform X1,WD repeat-containing protein 81,XP_008674005,ZEAMMB73_Zm00001d040712,zma:103650138
A0A1D6MSD3	4577.A0A1D6MSD3	Ribosomal_S27 domain-containing protein.	https://smart.embl.de/smart/DDvec.cgi?smart=59:Pfam_Ribosomal_S27(19|49)+	A0A1D6MSD3,A0A1D6MSD3_MAIZE,Ribosomal_S27 domain-containing protein,ZEAMMB73_Zm00001d040715
